0:0:2 | [CMD] ahmet55(6) => /buybus
0:3:56 | _EmiiR(10): her gorevde ayný skormu veriyo
0:4:3 | [SirketCHT] Jodor(20): ! 6m kastým :)
0:4:5 | xqHost(9): uzaklýða göre deðiþiyo
0:4:10 | _EmiiR(10): hayýr /basarimlar
0:4:10 | (BANKA) huso608(13) 1148 nolu banka hesabindan 4000000$ cekti.
0:4:12 | [CMD] ahmet55(6) => /pm 13 eyw huso ýlk kumarhane alýcam 
0:4:14 | [SirketCHT] Jodor(20): ! iyi kasmýþým
0:4:15 | [SirketCHT] DarkFlow(11): ! :D
0:4:18 | xqHost(9): para önemli skoru boþver
0:4:19 | [SirketCHT] Jodor(20): ! ölüm bile 6m
0:4:24 | [CMD] huso608(13) => /work
0:4:35 | [SirketCHT] Jodor(20): ! jodorun ölüsü 6m ymiþ
0:4:38 | [CMD] Jodor(20) => /araba
0:4:43 | [CMD] xqHost(9) => /c bas
0:4:47 | _EmiiR(10): darkflow bizim konvoya gelseinze
0:4:48 | Reader(14) oyuna girdi [IP: 85.96.110.0]
0:4:50 | [CMD] _EmiiR(10) => /convoy
0:4:50 | [SirketCHT] DarkFlow(11): ! ölün bile para ediyo :D
0:4:53 | [CMD] Jodor(20) => /sirket
0:4:58 | DarkFlow(11): görev var
0:5:1 | 
0:5:2 | [CMD] huso608(13) => /paragonder 6 3000000
0:5:4 | {FFCC00}Reader(14) {FFFFFF}Kamyoncu olarak spawn oldu.
0:5:6 | _EmiiR(10): bitince gein 5 kiþi oluruz
0:5:10 | DarkFlow(11): ok
0:5:15 | [CMD] xqHost(9) => /c zorlu yapma
0:5:18 | [CMD] ZORLU(12) => /c :D
0:5:18 | [CMD] Reader(14) => /rescue
0:5:27 | [CMD] DarkFlow(11) => /tamir
0:5:30 | [CMD] DarkFlow(11) => /motor
0:5:37 | [CMD] Jodor(20) => /arenk1
0:5:38 | [CMD] huso608(13) => /paragonder 6 3000000
0:5:41 | [CMD] Jodor(20) => /modifiye
0:5:42 | [CMD] DarkFlow(11) => /convoyiptal
0:5:44 | [CMD] DarkFlow(11) => /convoy
0:5:48 | [CMD] xqHost(9) => /c sola döncez þimdi
0:5:52 | [CMD] xqHost(9) => /c harbourdayýz dark
0:5:54 | [CMD] xqHost(9) => /fc pardon
0:5:54 | [CMD] Reader(14) => /work
0:5:55 | [CMD] ZORLU(12) => /c nabýyon amk
0:5:55 | [CMD] xqHost(9) => /c pardon
0:5:56 | [CMD] nefariouss(7) => /convoy
0:5:58 | [CMD] huso608(13) => /paragonder 6 3000000
0:6:0 | [CMD] xqHost(9) => /c docktayýz
0:6:6 | [CMD] Reader(14) => /vonvoy
0:6:7 | [CMD] huso608(13) => /work
0:6:8 | [CMD] nefariouss(7) => /convoyayril
0:6:8 | [CMD] Reader(14) => /convoy
0:6:10 | [CMD] xqHost(9) => /c docka gel
0:6:11 | _EmiiR(10): nefa bizim konvoya gelsene
0:6:11 | [SirketCHT] DarkFlow(11): ! nef xahost konvoya katýl 
0:6:14 | [CMD] nefariouss(7) => /convoy
0:6:16 | [CMD] DarkFlow(11) => /c ok
0:6:20 | [CMD] Jodor(20) => /vtamir
0:6:24 | [CMD] Reader(14) => /goreviptal
0:6:24 | [CMD] Jodor(20) => /modifiye
0:6:26 | [CMD] Reader(14) => /convoy
0:6:30 | [CMD] huso608(13) => /paragonder 6 3000000
0:6:34 | [CMD] xqHost(9) => /c docktayýz beyler
0:6:39 | DarkFlow(11): ;/tamir
0:6:41 | [CMD] DarkFlow(11) => /tamir
0:6:45 | [CMD] _EmiiR(10) => /c /rescue yazýn docku secin cabuk
0:6:49 | [CMD] Reader(14) => /rescue
0:6:51 | huso608(13): t/asay Arac Res Geliyor!!! 
0:6:52 | [CMD] xqHost(9) => /c dock yokki :D
0:6:52 | [CMD] ZORLU(12) => /rescue
0:6:54 | [CMD] Reader(14) => /rescue
0:6:55 | [CMD] _EmiiR(10) => /c ;ASDAS,
0:6:55 | [CMD] huso608(13) => /cc
0:6:56 | [CMD] ZORLU(12) => /rescue
0:6:56 | [CMD] Reader(14) => /rescue
0:6:56 | [CMD] _EmiiR(10) => /c ;ASDAS,
0:6:57 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
0:6:57 | [CMD] ZORLU(12) => /rescue
0:6:57 | [CMD] nefariouss(7) => /tamir
0:7:1 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
0:7:2 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
0:7:2 | [CMD] xqHost(9) => /c rescueden gidilmez
0:7:2 | [CMD] _EmiiR(10) => /c laaan boyle kaldýýým
0:7:6 | [CMD] ZORLU(12) => /fc arac icindeyken kullanamassýn diyor
0:7:6 | [CMD] huso608(13) => /respawncars
0:7:6 | [CMD] xqHost(9) => /c off
0:7:7 | [CMD] Reader(14) => /rescue
0:7:7 | [CMD] huso608(13) => /cantazele
0:7:10 | [CMD] _EmiiR(10) => /c oluuum yardým
0:7:12 | [CMD] DarkFlow(11) => /sirket
0:7:12 | [CMD] ZORLU(12) => /c arac icindeyken kullanamassýn diyor
0:7:13 | [CMD] ZORLU(12) => /c arac icindeyken kullanamassýn diyor
0:7:18 | Reader(14): araçtan inip git
0:7:19 | [CMD] _EmiiR(10) => /c lan yardým edin
0:7:21 | Reader(14): !
0:7:22 | [CMD] _EmiiR(10) => /c lan yardým edin burda kaldým
0:7:22 | [CMD] xqHost(9) => /c geliyom
0:7:27 | [CMD] xqHost(9) => /c zorlu geç
0:7:31 | huso608(13) ahmet55(6)'a 3000000$ para gönderdi
0:7:31 | [CMD] huso608(13) => /paragonder 6 3000000
0:7:33 | [CMD] _EmiiR(10) => /motor
0:7:34 | [CMD] Reader(14) => /convoy
0:7:38 | [CMD] _EmiiR(10) => /kemer
0:7:39 | [CMD] Reader(14) => /rescue
0:7:41 | [CMD] _EmiiR(10) => /tamir
0:7:50 | Jodor(20): bu trenlerin sarý olmasýna alýþamadým
0:7:51 | [CMD] ZORLU(12) => /c qhest nie rescue yazýyoz yazýlmadý arac icindeyken yazýlmýyor muþ
0:7:53 | Jodor(20): olmamýþ ya
0:8:3 | [CMD] xqHost(9) => /c araç içinde niye yazýlmýyo bilmiyom
0:8:6 | DarkFlow(11): :D
0:8:9 | [CMD] huso608(13) => /work
0:8:10 | [CMD] ZORLU(12) => /c yazýnca ne veriyor ki
0:8:12 | [CMD] ahmet55(6) => /buybus
0:8:16 | DarkFlow(11): kafa karýþtýrýcý
0:8:21 | Jodor(20): aynen
0:8:23 | [CMD] xqHost(9) => /c  /rescue ýþýnlanma komutu týr bölgelerine
0:8:26 | Reader(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:8:39 | [CMD] xqHost(9) => /c týr için geçerli deðil tüm mesleklerde bölgeye ýþýnlanma komutu
0:8:45 | DarkFlow(11): kýrmýzý olsa iyi 
0:8:45 | [CMD] ahmet55(6) => /pm 13 kucuk bý market var onumu sattsam
0:8:46 | [LOCAL]xqHost(9): gelsinler baþlatcam
0:8:46 | [CMD] xqHost(9) => /l gelsinler baþlatcam
0:8:47 | [CMD] Jodor(20) => /araba
0:8:59 | [SirketCHT] Jodor(20): ! o daha da kötü
0:9:1 | [CMD] huso608(13) => /pm 6 gerek yok 1m yollayacam sana
0:9:3 | Jodor(20): o daha da kötü
0:9:6 | [CMD] xqHost(9) => /c  herkes  /asiriyuk alsýn 
0:9:7 | [SirketCHT] DarkFlow(11): ! neden
0:9:7 | [CMD] ahmet55(6) => /pm 13 tm
0:9:8 | Jodor(20): görev de kýrmýzý ya
0:9:9 | [CMD] xqHost(9) => /work
0:9:11 | [CMD] Jodor(20) => /vtamir
0:9:12 | [CMD] ZORLU(12) => /asiriyuk
0:9:14 | [SirketCHT] DarkFlow(11): ! :D
0:9:16 | [CMD] Jodor(20) => /araba
0:9:19 | [CMD] ZORLU(12) => /asiriyuk
0:9:20 | [CMD] xqHost(9) => /c  /asiriuk yazýn
0:9:20 | [CMD] xqHost(9) => /c  /asiriuk yazýn
0:9:21 | [CMD] _EmiiR(10) => /asiriyuk
0:9:21 | [CMD] ZORLU(12) => /asiriyuk
0:9:21 | [CMD] ZORLU(12) => /asiriyuk
0:9:22 | [CMD] ZORLU(12) => /asiriyuk
0:9:22 | [CMD] _EmiiR(10) => /asiriyuk
0:9:22 | [CMD] ZORLU(12) => /asiriyuk
0:9:23 | [CMD] DarkFlow(11) => /asiriyuk
0:9:23 | [CMD] xqHost(9) => /c  /asiriyuk yazýn
0:9:23 | [CMD] ZORLU(12) => /asiriyuk
0:9:23 | [CMD] xqHost(9) => /c  /asiriyuk yazýn
0:9:23 | [CMD] ZORLU(12) => /asiriyuk
0:9:23 | [CMD] xqHost(9) => /c  /asiriyuk yazýn
0:9:24 | [CMD] ZORLU(12) => /asiriyuk
0:9:24 | [CMD] ZORLU(12) => /asiriyuk
0:9:25 | [CMD] ZORLU(12) => /asiriyuk
0:9:25 | [CMD] xqHost(9) => /tamir
0:9:25 | [CMD] DarkFlow(11) => /asiriyuk
0:9:25 | [CMD] ZORLU(12) => /asiriyuk
0:9:25 | [CMD] ZORLU(12) => /asiriyuk
0:9:26 | [CMD] ZORLU(12) => /asiriyuk
0:9:26 | Jodor(20): beyaz iyiydi
0:9:26 | [CMD] _EmiiR(10) => /tamir
0:9:28 | [CMD] xqHost(9) => /asiriyuk
0:9:37 | [CMD] ZORLU(12) => /c zaten aþýrý yükleme yaptýn diyor
0:9:37 | DarkFlow(11): pembe yapsýnlar
0:9:38 | [CMD] nefariouss(7) => /asiriyuk
0:9:43 | Jodor(20): olmaz
0:9:43 | DarkFlow(11): :D
0:9:46 | Jodor(20): pizzacý
0:9:48 | [CMD] sezzer(8) => /rescue
0:9:50 | [CMD] Jodor(20) => /meslek
0:9:53 | Jodor(20) Oduncu olarak spawn oldu.
0:9:57 | [CMD] huso608(13) => /work
0:10:13 | [CMD] ZORLU(12) => /c durun
0:10:19 | [CMD] ZORLU(12) => /c durunadam düþtü
0:10:20 | [CMD] Jodor(20) => /myskin 105
0:10:25 | [CMD] Jodor(20) => /myskin 107
0:10:28 | [CMD] huso608(13) => /myskin 249
0:10:33 | Jodor(20): araç res
0:10:35 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
0:10:35 | [CMD] Jodor(20) => /work
0:10:36 | DarkFlow(11): dur 
0:10:46 | [CMD] DarkFlow(11) => /c bindinmi
0:10:47 | Jodor(20): hüseyin 
0:10:52 | [CMD] nefariouss(7) => /c süpersin gardeþim
0:10:52 | huso608(13): buyur
0:10:54 | [CMD] sezzer(8) => /meslek
0:10:56 | xqHost(9) oyundan cIktI (Hata/Crash) (IP: 176.33.167.164)
0:10:56 | Jodor(20): duyuruyu da temizleye bilir misin
0:10:57 | [CMD] _EmiiR(10) => /c Sen kaþýndýn
0:10:57 | DarkFlow(11): resle
0:10:59 | [CMD] nefariouss(7) => /c teþekkürler
0:11:1 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
0:11:4 | [CMD] _EmiiR(10) => /c bana oyle carpmayacaktýn
0:11:5 | [CMD] huso608(13) => /asay Arac Res Geliyor!!! 
0:11:6 | sezzer(8) Pizzaci olarak spawn oldu.
0:11:7 | [CMD] huso608(13) => /respawncars
0:11:7 | [CMD] ahmet55(6) => /pcc
0:11:8 | [CMD] huso608(13) => /cantazele
0:11:17 | [CMD] nefariouss(7) => /c sen körmüsün ben sana çarptýmmý
0:11:21 | [CMD] _EmiiR(10) => /c evet
0:11:23 | [CMD] sezzer(8) => /work
0:11:29 | [LOCAL]Jodor(20): ekran duyurusunu da temizler misin
0:11:29 | [CMD] Jodor(20) => /l ekran duyurusunu da temizler misin
0:11:36 | [LOCAL]Jodor(20): bikaç görüntü alayým
0:11:36 | [CMD] Jodor(20) => /l bikaç görüntü alayým
0:11:40 | [CMD] huso608(13) => /dtemizle
0:11:40 | [CMD] sezzer(8) => /work
0:11:41 | [CMD] nefariouss(7) => /c çok yavaþ gidiyodun seni geçtim önüme kýrdýn
0:11:42 | _EmiiR(10): olum  cok zor skor kasýlýyoo
0:11:43 | [CMD] DarkFlow(11) => /c mesafeli gelin 
0:11:43 | [CMD] huso608(13) => /rescue
0:11:47 | [CMD] sezzer(8) => /work
0:11:53 | [CMD] ZORLU(12) => /c emir nerden knk
0:11:54 | huso608(13): skor kasýcaksan otobus yap
0:11:59 | [CMD] huso608(13) => /odunsat
0:11:59 | [ANTIHACK] Þüpheli nefariouss(7) => Airbreak-hack
0:12:2 | _EmiiR(10): otobüsde ne var
0:12:4 | [CMD] huso608(13) => /spec 7
0:12:5 | Jodor(20): emir
0:12:8 | Jodor(20): týr yap
0:12:9 | DarkFlow(11): 3 skor
0:12:10 | huso608(13): skor kasmak icin
0:12:13 | Jodor(20): 15 tane yap
0:12:18 | Jodor(20): 100 skor kazanýrsýn
0:12:18 | [CMD] nefariouss(7) => /adminol
0:12:28 | Jodor(20): bb
0:12:30 | [CMD] huso608(13) => /specoff
0:12:30 | huso608(13) Oduncu olarak spawn oldu.
0:12:31 | [CMD] sezzer(8) => /work
0:12:37 | [CMD] huso608(13) => /goto 20
0:12:37 | [CMD] ZORLU(12) => /c pardon
0:12:37 | nefariouss(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:12:39 | [CMD] huso608(13) => /work
0:12:41 | [CMD] _EmiiR(10) => /kemer
0:12:42 | [CMD] _EmiiR(10) => /kemer
0:12:43 | [CMD] _EmiiR(10) => /tamir
0:12:56 | [CMD] DarkFlow(11) => /convoyuye
0:13:0 | [CMD] Jodor(20) => /work
0:13:8 | [LOCAL]Jodor(20): super mario skini var ben de :D
0:13:8 | [CMD] Jodor(20) => /l super mario skini var ben de :D
0:13:8 | [CMD] sezzer(8) => /work
0:13:16 | [LOCAL]huso608(13): :)
0:13:16 | [CMD] huso608(13) => /l :)
0:13:18 | [LOCAL]Jodor(20): foruma attýðýmda görürsün :)
0:13:18 | [CMD] Jodor(20) => /l foruma attýðýmda görürsün :)
0:13:21 | [CMD] ahmet55(6) => /gobus
0:13:36 | [CMD] _EmiiR(10) => /tamir
0:13:37 | [CMD] sezzer(8) => /araba
0:13:40 | [CMD] Jodor(20) => /sirket
0:13:42 | [LOCAL]huso608(13): hayýrlýsý sagolasýn
0:13:42 | [CMD] huso608(13) => /l hayýrlýsý sagolasýn
0:13:44 | [CMD] sezzer(8) => /work
0:13:58 | [CMD] _EmiiR(10) => /basarimlar
0:13:58 | [LOCAL]Jodor(20): samuray da var
0:13:58 | [CMD] Jodor(20) => /l samuray da var
0:14:2 | [CMD] Jodor(20) => /myskin 16
0:14:24 | _EmiiR(10): lotto ne ara baþladý lan gormedim
0:14:24 | [CMD] DarkFlow(11) => /c bu görevden sonra 1 görev daha yapalým tmmdýr
0:14:29 | [CMD] _EmiiR(10) => /loto
0:14:29 | ZORLU(12): lotto ne ki
0:14:31 | DarkFlow(11): otomatik
0:14:32 | [CMD] ahmet55(6) => /icerigir
0:14:37 | huso608(13): @10 lotto otomatik 
0:14:42 | ZORLU(12): otmatik derken
0:14:43 | [CMD] ahmet55(6) => /isyerimenu
0:14:46 | _EmiiR(10): kac dkda bir
0:14:54 | huso608(13): kendi dagýtýyor usere belli olmuyor 
0:14:56 | [CMD] Jodor(20) => /myskin 45
0:14:59 | ZORLU(12): hee ýj
0:15:1 | [CMD] Jodor(20) => /myskin 47
0:15:3 | ZORLU(12): ok
0:15:4 | [CMD] ahmet55(6) => /gobus
0:15:15 | [CMD] ahmet55(6) => /icerigir
0:15:19 | [CMD] ZORLU(12) => /pm 13 bizim konvoy kurucusu gitti ben yolun yarýsna geldim tek kaldým
0:15:19 | DarkFlow(11): sisteme sevdir kendini
0:15:22 | [CMD] ahmet55(6) => /isyerimenu
0:15:26 | [CMD] ZORLU(12) => /pm 13 para verrmesse nye yapcam
0:15:29 | [CMD] Jodor(20) => /myskin 48
0:15:30 | [CMD] ahmet55(6) => /isyerimenu
0:15:47 | [CMD] ahmet55(6) => /rescue
0:15:48 | [CMD] Jodor(20) => /myskin 105
0:15:53 | [CMD] huso608(13) => /pm 12 sen varýsa gel verir o konvoy lideri giderse vaskasýna devreder
0:15:55 | sezzer(8) Pizzaci olarak spawn oldu.
0:16:7 | [CMD] ZORLU(12) => /pm 13 ok
0:16:7 | [CMD] Jodor(20) => /work
0:16:22 | [CMD] sezzer(8) => /work
0:16:52 | [CMD] ahmet55(6) => /buybus
0:17:5 | [CMD] huso608(13) => /work
0:17:10 | [CMD] huso608(13) => /myskin 249
0:17:46 | [CMD] ahmet55(6) => /pm 13 huso market vardý onu sattým ole aldým
0:17:48 | [CMD] Jodor(20) => /work
0:17:59 | [CMD] sezzer(8) => /work
0:18:3 | [CMD] DarkFlow(11) => /tamir
0:18:4 | [CMD] _EmiiR(10) => /tamir
0:18:4 | [CMD] ahmet55(6) => /pm 13 cok sagol yardým ettýn ýcýn eyw
0:18:8 | [CMD] huso608(13) => /pm 6 hayýrlýsý olsun keske satmasaydýn elinde bulunurdu
0:18:9 | [CMD] Jodor(20) => /convoy 
0:18:17 | [CMD] ahmet55(6) => /pm 13 az para verýyordu zaten
0:18:18 | [CMD] huso608(13) => /pm 6 rica ederim her zaman
0:18:26 | [CMD] huso608(13) => /pm 6 olsun degerlidir 
0:18:46 | [CMD] sezzer(8) => /work
0:18:48 | [CMD] ahmet55(6) => /pm 13 2 tane oldu dukan sýmdý býrýsý kumarhane býrýsý dýsko yerýydý
0:18:48 | [CMD] Jodor(20) => /myskin 107
0:18:52 | [CMD] huso608(13) => /work
0:18:57 | [CMD] Jodor(20) => /emrah
0:19:2 | [CMD] Jodor(20) => /31
0:19:9 | [CMD] huso608(13) => /pm 6 tmm biraz daha biriktir al bi taane daha 3 cu olsun
0:19:10 | [CMD] sezzer(8) => /work
0:19:12 | [CMD] Jodor(20) => /animkapat
0:19:17 | [CMD] Jodor(20) => /animkapat
0:19:22 | [CMD] sezzer(8) => /work
0:19:31 | [CMD] huso608(13) => /pm 6 aldýgýn dukkanlarýn ss al sonra kayboldugunda kanýtýn olur
0:19:31 | [CMD] ahmet55(6) => /pm 13 motor alýcam sýmdý býtýrýktýrým
0:19:33 | _EmiiR(10): týrcýlar mekanýndan truck samp niye oldu la
0:19:46 | ZORLU(12): emir sen konvoy a devam ediyonmu knk
0:19:46 | [CMD] Jodor(20) => /myskin 100
0:19:48 | [CMD] sezzer(8) => /work
0:19:49 | _EmiiR(10): evet
0:19:50 | DarkFlow(11): sahibi deüiþti
0:19:53 | huso608(13): www.trucksamp.com bizim sitemiz forumumuz var
0:19:57 | ZORLU(12): düþsün ne olmuþ
0:20:4 | [LOCAL]sezzer(8): sa
0:20:4 | [CMD] sezzer(8) => /l sa
0:20:5 | [CMD] Jodor(20) => /work
0:20:6 | [LOCAL]ahmet55(6): as
0:20:6 | [CMD] ahmet55(6) => /l as
0:20:13 | [CMD] sezzer(8) => /work
0:20:20 | DarkFlow(11): initial trucksamp oldu
0:20:39 | [LOCAL]ahmet55(6): dukkanlara bakýyorum satýlýk
0:20:39 | [CMD] ahmet55(6) => /l dukkanlara bakýyorum satýlýk
0:20:41 | [CMD] huso608(13) => /work
0:20:41 | [CMD] DarkFlow(11) => /sirket
0:20:53 | [LOCAL]ahmet55(6): varmý kumarhane buldum demýn aldým
0:20:53 | [CMD] ahmet55(6) => /l varmý kumarhane buldum demýn aldým
0:20:55 | [CMD] ZORLU(12) => /pm 13 sa
0:21:2 | [CMD] huso608(13) => /pm 12 as
0:21:6 | [CMD] ZORLU(12) => /pm 13 sa ben þimdi týrýmý boþalltým konvoyda emir da var cýkmamýþ
0:21:7 | [SirketCHT] DarkFlow(11): ! jodor
0:21:9 | [LOCAL]sezzer(8): düzce de biliyorum bi tane
0:21:9 | [CMD] sezzer(8) => /l düzce de biliyorum bi tane
0:21:10 | [CMD] ZORLU(12) => /pm 13 para filan vermedi
0:21:14 | [LOCAL]sezzer(8): ama kumarhane deðil
0:21:14 | [CMD] sezzer(8) => /l ama kumarhane deðil
0:21:18 | [SirketCHT] Jodor(20): ! evet
0:21:22 | [CMD] huso608(13) => /pm 12 bekle emir gelicek oyle alýcaksýnýz
0:21:23 | [CMD] DarkFlow(11) => /pm 20 kasa düþmüs 
0:21:24 | [LOCAL]ahmet55(6): yok kumarhane
0:21:24 | [CMD] ahmet55(6) => /l yok kumarhane
0:21:31 | [CMD] Jodor(20) => /pm 11 nereye
0:21:37 | [CMD] Jodor(20) => /pm 11 kasa yerine mi
0:21:39 | [LOCAL]ahmet55(6): daha para kalmadý
0:21:39 | [CMD] ahmet55(6) => /l daha para kalmadý
0:21:42 | [CMD] DarkFlow(11) => /pm 20 200 den 
0:21:42 | _EmiiR(10): zorlu yolu kaybettim
0:21:47 | [CMD] DarkFlow(11) => /pm 20 :D 
0:21:49 | [CMD] DarkFlow(11) => /sirket
0:21:56 | [CMD] huso608(13) => /spec 10
0:21:57 | [LOCAL]ahmet55(6): bahýs dukkaný 
0:21:57 | [CMD] ahmet55(6) => /l bahýs dukkaný 
0:21:58 | [CMD] Jodor(20) => /myskin 200
0:22:2 | ZORLU(12): ohho
0:22:5 | [LOCAL]ahmet55(6): paran varsa al
0:22:5 | [CMD] ahmet55(6) => /l paran varsa al
0:22:6 | ZORLU(12): konvoy dan cýk
0:22:8 | [CMD] Jodor(20) => /pm 11 anlamadým
0:22:8 | _EmiiR(10): yolk
0:22:10 | ZORLU(12): para gelsin bana
0:22:10 | [CMD] Jodor(20) => /sirket
0:22:11 | _EmiiR(10): arýyom
0:22:12 | ZORLU(12): cýksana kardeþ
0:22:14 | [CMD] DarkFlow(11) => /sirket
0:22:15 | [LOCAL]sezzer(8): var bende 3 tane kumarhane 5 level
0:22:15 | [CMD] sezzer(8) => /l var bende 3 tane kumarhane 5 level
0:22:17 | huso608(13):   /convoyayril
0:22:17 | ZORLU(12): arama ya 500000 bin km var
0:22:22 | [CMD] DarkFlow(11) => /pm 20 193 þuan kasa 
0:22:23 | [SirketCHT] Jodor(20): ! he tamam
0:22:24 | [LOCAL]ahmet55(6): bende ýlk oldu 
0:22:24 | [CMD] ahmet55(6) => /l bende ýlk oldu 
0:22:24 | ZORLU(12): senimi beklicem
0:22:32 | _EmiiR(10): yav boþ yapma
0:22:33 | [LOCAL]sezzer(8): üçüde yan yana
0:22:33 | [CMD] sezzer(8) => /l üçüde yan yana
0:22:33 | [CMD] huso608(13) => /pm 10 /convoyat ýd 
0:22:36 | [SirketCHT] Jodor(20): ! kirayý çekmiþler :D
0:22:37 | ZORLU(12): lan cýksana
0:22:39 | [CMD] ZORLU(12) => /motor
0:22:40 | [SirketCHT] DarkFlow(11): ! hmm
0:22:44 | _EmiiR(10): Birader boþ yapmaya devam etcenmi
0:22:57 | [CMD] huso608(13) => /specoff
0:22:58 | huso608(13) Oduncu olarak spawn oldu.
0:23:6 | [CMD] _EmiiR(10) => /convoyat
0:23:8 | [CMD] Jodor(20) => /pm 11 en son 208m vardý. 
0:23:8 | [CMD] DarkFlow(11) => /convoyuye
0:23:8 | ZORLU(12): evet edicem
0:23:17 | [CMD] DarkFlow(11) => /pm 20 evet 
0:23:18 | ZORLU(12): kardeþim cýksana yarýn sabah iþ var o kadar yol geldim paramý alayým cýkýcam
0:23:24 | DarkFlow(11): emir geliyonmu
0:23:27 | ZORLU(12): 6547 var daha
0:23:27 | [CMD] Jodor(20) => /work
0:23:35 | _EmiiR(10): 5k
0:23:35 | _EmiiR(10): 5k var
0:23:38 | [CMD] huso608(13) => /pm 11 baskan kimde lider
0:23:39 | [CMD] DarkFlow(11) => /yerbul 10
0:23:49 | [CMD] huso608(13) => /work
0:24:3 | [SirketCHT] Jodor(20): ! kiramýzý ödedik. 
