0:0:1 | [CMD] Jodor(12) => /vipler 
0:7:29 | [SirketCHT] Jodor(12): ! highwaya ýþýnlan daha görev bitmedi
0:7:31 | FurkanBey(11): gravn
0:7:33 | GravLaunch(10): he
0:7:38 | FurkanBey(11): muay tayi e gitsene :D 
0:7:39 | [SirketCHT] SiskoDayi(19): ! oow öyle yapam dur
0:7:45 | FurkanBey(11): dövüþ öðrenirsin ne güzel 
0:7:47 | [CMD] huso608(17) => /rescue
0:7:48 | GravLaunch(10): one la
0:7:49 | [CMD] SiskoDayi(19) => /rescue
0:7:55 | huso608(17): sanat dovus sanatý
0:7:59 | GravLaunch(10): oðlum tekvando daha iyi
0:8:0 | FurkanBey(11): kick box tarzý 
0:8:3 | [CMD] HeRquL(6) => /ben çýkýyom
0:8:7 | [CMD] gorkemu24(0) => /work
0:8:8 | HeRquL(6): çýkýypom
0:8:10 | GravLaunch(10): çocuk zamanlarýmda kýrmýzý siyaha kadar geldim
0:8:12 | [CMD] huso608(17) => /work
0:8:12 | [CMD] gorkemu24(0) => /goreviptal
0:8:12 | emre_cool(18): by
0:8:14 | [CMD] gorkemu24(0) => /work
0:8:14 | [CMD] HeRquL(6) => /a hadi eyv i.g
0:8:14 | FurkanBey(11): tekvando sadece tekme baþka biþe yokki 
0:8:17 | [CMD] HeRquL(6) => /adminol
0:8:22 | [CMD] gorkemu24(0) => /goreviptal
0:8:22 | [CMD] [cCc]HulkHulk[cCc](13) => /tamir
0:8:22 | GravLaunch(10): 16 yaþýmý doldurmadýðým için siyah kuþak alamadým
0:8:24 | FurkanBey(11): bb 
0:8:25 | [SirketCHT] nefariouss(16): ! ben docksa gitmiþim :dw
0:8:26 | GravLaunch(10): çocukken
0:8:27 | HeRquL(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:8:32 | [CMD] emre_cool(18) => /keemr
0:8:32 | [CMD] ASLANBEY(9) => /convoykontrol
0:8:32 | [CMD] Freezer3543(7) => /afk
0:8:33 | [CMD] emre_cool(18) => /kemer
0:8:34 | [SirketCHT] DarkFlow(8): ! :D
0:8:36 | Freezer3543(7): C  res
0:8:38 | [SirketCHT] Jodor(12): ! :/
0:8:38 | [CMD] huso608(17) => /cantazele
0:8:39 | [CMD] gorkemu24(0) => /otur
0:8:40 | GravLaunch(10): 
0:8:41 | [CMD] FurkanBey(11) => /spec 13 
0:8:44 | [CMD] FurkanBey(11) => /cantazele
0:8:47 | [CMD] FurkanBey(11) => /specoff
0:8:47 | 
0:8:50 | [CMD] FurkanBey(11) => /rescue
0:8:51 | GravLaunch(10): ne güzel zamanlardý yakýn beyler yakýn AS:Dwq
0:8:54 | [CMD] FurkanBey(11) => /gobus
0:9:3 | huso608(17): valla baskan kavgaya girdinmi kusaga bakmýyorlar
0:9:7 | Jodor(12): yakýn mý
0:9:8 | [CMD] GravLaunch(10) => /isteksarki 914
0:9:10 | huso608(17): sana bakýyorlar
0:9:12 | [CMD] FurkanBey(11) => /goto 17 
0:9:12 | Jodor(12): bizi öldür o zaman
0:9:15 | [CMD] emre_cool(18) => /gobus
0:9:16 | [CMD] ASLANBEY(9) => /convoykontrol
0:9:18 | [LOCAL]FurkanBey(11): :D 
0:9:18 | [CMD] FurkanBey(11) => /l :D 
0:9:19 | GravLaunch(10): baþkan þu þarkýyý açarsýnýz dimi
0:9:21 | huso608(17): yer mi yemezmi diye
0:9:23 | [LOCAL]Jodor(12): yana gel
0:9:23 | [CMD] Jodor(12) => /l yana gel
0:9:24 | GravLaunch(10): yer :D
0:9:24 | [CMD] emre_cool(18) => /icerigir
0:9:25 | [CMD] FurkanBey(11) => /plane
0:9:27 | [CMD] emre_cool(18) => /isyerimenu
0:9:27 | gorkemu24(0): kargocu varmý la
0:9:29 | gorkemu24(0): sw de
0:9:29 | GravLaunch(10): ama 2-3 kiþi vericen
0:9:30 | [CMD] emre_cool(18) => /isyerimenu
0:9:30 | GravLaunch(10): dalarým
0:9:32 | [CMD] FurkanBey(11) => /kemer
0:9:36 | [CMD] ClipCamper20(21) => /bilet sf-ls
0:9:36 | huso608(17): sarký istegi alamýyorum baba
0:9:37 | [CMD] [cCc]HulkHulk[cCc](13) => /modifiye
0:9:37 | [LOCAL]FurkanBey(11): alta
0:9:37 | [CMD] FurkanBey(11) => /l alta
0:9:41 | BrownCute(6) oyuna girdi [IP: 85.107.209.97]
0:9:42 | [CMD] FurkanBey(11) => /a atla 
0:9:42 | [CMD] ASLANBEY(9) => /c bay potly
0:9:46 | [CMD] emre_cool(18) => /rescue
0:9:46 | [CMD] bay.potiy(14) => /cevir
0:9:47 | gorkemu24(0): gel gel
0:9:49 | [CMD] GravLaunch(10) => /admins
0:9:49 | [CMD] huso608(17) => /a gorev yapýyom
0:9:50 | [CMD] ASLANBEY(9) => /c yolculuk nereye
0:9:51 | 
0:9:52 | [CMD] huso608(17) => /work
0:9:53 | GravLaunch(10): furkan
0:9:53 | [CMD] ASLANBEY(9) => /c bay potly
0:9:54 | gorkemu24(0): yoruldum 
0:9:54 | [CMD] FurkanBey(11) => /a tmm :D 
0:9:54 | [CMD] batu.123(20) => /tamir
0:9:54 | GravLaunch(10): bi þarký açsana
0:9:55 | BrownCute(6) Bankaci olarak spawn oldu.
0:9:57 | [CMD] bay.potiy(14) => /tamir
0:9:57 | [CMD] gorkemu24(0) => /animkapat
0:9:59 | [CMD] FurkanBey(11) => /cleanupcars
0:10:2 | gorkemu24(0): can res at
0:10:4 | CAKIR34 gorkemu24'i öldürdü. Oldurme Sekli: 0
0:10:5 | [CMD] huso608(17) => /cantazele
0:10:7 | [CMD] BrownCute(6) => /work
0:10:8 | [CMD] DarkFlow(8) => /convoyuye
0:10:8 | 
0:10:10 | CAKIR34(15) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:10:10 | emre_cool(18): araç res pls
0:10:11 | [CMD] gorkemu24(0) => /rescue
0:10:12 | [CMD] FurkanBey(11) => /a görkeme sen baksan olurmu abi 
0:10:12 | [CMD] huso608(17) => /asay Araç Res Geliyor !!! 
0:10:13 | [CMD] emre_cool(18) => /kemer
0:10:15 | [CMD] huso608(17) => /asay Araç Res Geliyor !!! 
0:10:15 | [CMD] emre_cool(18) => /modifiye
0:10:17 | [CMD] Freezer3543(7) => /geldim
0:10:18 | [CMD] BrownCute(6) => /kemer
0:10:19 | [CMD] DarkFlow(8) => /yerbul 14
0:10:19 | [CMD] huso608(17) => /asay Araç Res Geliyor !!! 
0:10:21 | [CMD] huso608(17) => /respawncars
0:10:22 | [CMD] emre_cool(18) => /engine
0:10:24 | [CMD] Freezer3543(7) => /araba
0:10:26 | [CMD] huso608(17) => /a ne istiyor
0:10:27 | [CMD] Freezer3543(7) => /araba
0:10:33 | [CMD] FurkanBey(11) => /a diðerleride olurda görkemle muhatap olmak istemiyorum aramýz kötü onla
0:10:36 | [CMD] Freezer3543(7) => /kemer
0:10:37 | [CMD] ASLANBEY(9) => /c bay potly
0:10:42 | [CMD] Freezer3543(7) => /modifiye
0:10:42 | [CMD] FurkanBey(11) => /araba
0:10:43 | GravLaunch(10): eyw .d
0:10:44 | gorkemu24(0): kargocu varmý
0:10:44 | [CMD] bay.potiy(14) => /c efendim 
0:10:45 | [CMD] ClipCamper20(21) => /sac
0:10:46 | [CMD] huso608(17) => /a sen seslen bakarýz
0:10:46 | [CMD] DarkFlow(8) => /yerbul
0:10:48 | [CMD] ASLANBEY(9) => /c nerdesn
0:10:50 | [CMD] FurkanBey(11) => /a oky 
0:10:50 | Freezer3543(7): Ben
0:10:51 | huso608(17): gece gece
0:10:52 | [CMD] FurkanBey(11) => /kemer
0:10:53 | gorkemu24(0): kargocu varmý skor kasan varmý
0:10:57 | [CMD] Freezer3543(7) => /meslek
0:10:58 | GravLaunch(10): yakýcam içinizi :DA:DQW
0:10:59 | [CMD] huso608(17) => /duyuru Efkar mi Basti
0:10:59 | [CMD] ASLANBEY(9) => /c yanlýþ mý gittn
0:11:0 | 
0:11:1 | [CMD] [cCc]HulkHulk[cCc](13) => /tamir
0:11:3 | [CMD] gorkemu24(0) => /otur
0:11:4 | bay.potiy(14): ;/c ben ters gitmiþim dönmyeme çalýþýyom 
0:11:8 | [CMD] ClipCamper20(21) => /rentcar
0:11:11 | [CMD] bay.potiy(14) => /c ben ters gitmiþim dönmyeme çalýþýyom 
0:11:13 | [CMD] gorkemu24(0) => /animkapat
0:11:13 | [CMD] FurkanBey(11) => /duyuru 
0:11:14 | emre_cool(18): huso bey bir þey sorcam ben polis veya çevik kuvvet olduðumda iþimi güzel yapýyormuyum ?
0:11:14 | [CMD] ASLANBEY(9) => /c tmm
0:11:16 | [CMD] Jodor(12) => /c :/
0:11:16 | [CMD] FurkanBey(11) => /duyuru  evet 
0:11:17 | Kemer(15) oyuna girdi [IP: 37.155.208.215]
0:11:19 | GravLaunch(10): kýzla konuþucam birazdan büyük ihtimalle çýkarým
0:11:20 | [CMD] FurkanBey(11) => /duyuru  evet
0:11:22 | [SirketCHT] ASLANBEY(9): !dayý konvoy katýl
0:11:25 | [CMD] huso608(17) => /duyuru Jilet Sart
0:11:27 | GravLaunch(10): hayýr yapmýyorsun
0:11:29 | [CMD] GravLaunch(10) => /tamir
0:11:31 | [CMD] GravLaunch(10) => /araba
0:11:33 | 
0:11:33 | [CMD] FurkanBey(11) => /meslek
0:11:33 | GravLaunch(10): :D
0:11:34 | [SirketCHT] Jodor(12): ! dayý harbourda bekliyor.
0:11:35 | {FFCC00}FurkanBey(11) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:11:37 | [LOCAL]gorkemu24(0): atla
0:11:37 | [CMD] gorkemu24(0) => /l atla
0:11:39 | GravLaunch(10): Espri .s
0:11:39 | [SirketCHT] Jodor(12): ! o göbekle zor gelir :)
0:11:40 | [CMD] bay.potiy(14) => /modifiye
0:11:42 | emre_cool(18): :D
0:11:43 | {FFCC00}Kemer(15) {FFFFFF}Polis olarak spawn oldu.
0:11:46 | [SirketCHT] ASLANBEY(9): ! :D
0:11:48 | [CMD] Kemer(15) => /sa
0:11:50 | [CMD] GravLaunch(10) => /as
0:11:50 | [CMD] FurkanBey(11) => /giveweapon 11 rocket 9999999999999 
0:11:51 | [CMD] ClipCamper20(21) => /as
0:11:51 | [CMD] emre_cool(18) => /as
0:11:52 | [CMD] GravLaunch(10) => /meslek
0:11:53 | [CMD] Kemer(15) => /admins
0:11:55 | {FFCC00}GravLaunch(10) {FFFFFF}Polis olarak spawn oldu.
0:12:1 | GravLaunch(10): Yani þimdi babnýz emniyet müdür
0:12:1 | [CMD] SiskoDayi(19) => /convoy
0:12:2 | huso608(17): @18 isinizi kendinizi iyi hissederek anlayabilirsiniz
0:12:2 | [CMD] Jodor(12) => /c bu benim son görev ben çýkacam
0:12:3 | GravLaunch(10): Yani þimdi babnýz emniyet müdürü
0:12:3 | [CMD] FurkanBey(11) => /spec 0
0:12:6 | Kemer(15): :D
0:12:6 | GravLaunch(10): ne kadar güzel yan idimi
0:12:7 | [CMD] FurkanBey(11) => /specoff
0:12:7 | {FFCC00}FurkanBey(11) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:12:9 | [CMD] FurkanBey(11) => /goto 0 
0:12:11 | [CMD] DarkFlow(8) => /c tmm
0:12:12 | [CMD] Jodor(12) => /c highwaya ýþýnlan
0:12:13 | [CMD] FurkanBey(11) => /araba
0:12:13 | emre_cool(18): tmm huso bey
0:12:15 | [CMD] SiskoDayi(19) => /vipneon
0:12:16 | [CMD] DarkFlow(8) => /sirket
0:12:16 | [SirketCHT] ASLANBEY(9): ! aha dayý geldi
0:12:18 | [CMD] huso608(17) => /work
0:12:18 | [CMD] Jodor(12) => /c gelmiþ :D
0:12:20 | [CMD] BrownCute(6) => /meslek
0:12:20 | [CMD] gorkemu24(0) => /work
0:12:22 | [CMD] SiskoDayi(19) => /c :D
0:12:22 | [CMD] Jodor(12) => /c helal dayý
0:12:22 | [CMD] ASLANBEY(9) => /c :D
0:12:23 | [CMD] FurkanBey(11) => /car nrg 1 4
0:12:28 | {FFCC00}BrownCute(6) {FFFFFF}Polis olarak spawn oldu.
0:12:33 | gorkemu24(0): lag tst
0:12:34 | gorkemu24(0): lag tst
0:12:34 | [CMD] BrownCute(6) => /rescue
0:12:34 | [CMD] FurkanBey(11) => /giveweapon 17 dildo  1 
0:12:35 | [CMD] DarkFlow(8) => /c :D
0:12:36 | [CMD] Jodor(12) => /myskin 294
0:12:37 | [CMD] FurkanBey(11) => /a :D 
0:12:40 | [CMD] huso608(17) => /duyuru Bakkal Satmiyormus
0:12:42 | GravLaunch(10): lag
0:12:43 | [CMD] FurkanBey(11) => /cleanupcars
0:12:47 | [CMD] huso608(17) => /a ne yapýyon lo
0:12:47 | [CMD] Jodor(12) => /c baþlat baba
0:12:50 | [CMD] FurkanBey(11) => /car nrg 1 4 
0:12:51 | [CMD] huso608(17) => /a terbiyisiz
0:12:52 | [CMD] SiskoDayi(19) => /c sen yeterki gelde :D ben gelmezmiyim
0:12:52 | Dark_Alone_(22) oyuna girdi [IP: 149.140.19.74]
0:12:54 | [CMD] BrownCute(6) => /kemer
0:12:55 | GravLaunch(10): laga bak ya
0:12:56 | gorkemu24(0): lag
0:12:58 | [CMD] ASLANBEY(9) => /work
0:12:59 | [CMD] Jodor(12) => /c kurban
0:13:2 | [CMD] FurkanBey(11) => /giveweapon 17 colt 45 1111
0:13:3 | gorkemu24(0): 10 numara
0:13:3 | 
0:13:6 | [CMD] gorkemu24(0) => /rescue
0:13:6 | [CMD] FurkanBey(11) => /giveweapon 17 colt-45 1111
0:13:7 | [CMD] huso608(17) => /duyuru 10 dan sonra satmiyoruz
0:13:8 | [CMD] gorkemu24(0) => /rescue
0:13:11 | Dark_Alone_(22) Cöpcü olarak spawn oldu.
0:13:12 | Dark_Alone_(22): sa
0:13:12 | [CMD] FurkanBey(11) => /giveweapon 17 katana 1111
0:13:13 | [CMD] DarkFlow(8) => /asiriyuk
0:13:14 | Kemer(15): as
0:13:14 | [CMD] ASLANBEY(9) => /convoybilgi
0:13:15 | [CMD] Jodor(12) => /c rehberken sana gslimerte bi de freezer çok yardýmcý olmuþtur
0:13:15 | [CMD] ClipCamper20(21) => /as
0:13:15 | Dark_Alone_(22): nabr
0:13:18 | [CMD] bay.potiy(14) => /tamir
0:13:19 | [CMD] emre_cool(18) => /adminol
0:13:20 | emre_cool(18) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:13:21 | [CMD] FurkanBey(11) => /car sanchez 1 4
0:13:22 | Dark_Alone_(22): ben copcu
0:13:22 | gorkemu24(0): 9 yapalým o zaman
0:13:24 | Dark_Alone_(22): oldum
0:13:24 | gorkemu24(0): satarsýn
0:13:25 | [CMD] SiskoDayi(19) => /asiriyuk
0:13:26 | ClipCamper20(21): geliyom
0:13:26 | [CMD] huso608(17) => /duyuru Ayni Bea Sen
0:13:28 | [CMD] ASLANBEY(9) => /asiriyuk
0:13:28 | [CMD] Jodor(12) => /c freezer yanlýþ adam oldu onu düzeltecem :Dw
0:13:30 | [CMD] FurkanBey(11) => /giveweapon 11 tec9 99999999999999 
0:13:34 | [CMD] FurkanBey(11) => /kemer
0:13:34 | Dark_Alone_(22): reýz
0:13:35 | [CMD] FurkanBey(11) => /akiltle
0:13:41 | Dark_Alone_(22): huso reýz
0:13:43 | [CMD] nefariouss(16) => /asiriyuk
0:13:44 | Dark_Alone_(22): saygýlar
0:13:44 | [CMD] [cCc]HulkHulk[cCc](13) => /asiriyuk
0:13:46 | [CMD] huso608(17) => /duyuru Aferim
0:13:46 | [CMD] Kemer(15) => /polisyazi
0:13:48 | GravLaunch(10): duyuru panelini silermisiniz beyler
0:13:57 | GravLaunch(10): temizleyin bi
0:13:57 | [CMD] huso608(17) => /duyuru Saygi Bizden Baskan
0:13:58 | [CMD] Kemer(15) => /polisyazi Yat Aþþa ASAYÝÞ!
0:14:0 | [CMD] [cCc]HulkHulk[cCc](13) => /asiriyuk
0:14:0 | Dark_Alone_(22): efkarlýyým bu gecede
0:14:1 | Freezer3543(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:14:1 | emre_cool(18) oyuna girdi [IP: 91.93.48.171]
0:14:2 | [CMD] huso608(17) => /dtemizle
0:14:5 | Dark_Alone_(22): eyw reiz
0:14:5 | [CMD] FurkanBey(11) => /cleanupcars
0:14:6 | GravLaunch(10): eyw huso reis
0:14:8 | [CMD] FurkanBey(11) => /car nrg 0 0
0:14:12 | [CMD] GravLaunch(10) => /tamir
0:14:13 | Dark_Alone_(22): faceni buldum reiz
0:14:14 | [CMD] huso608(17) => /duyuru Rica Ederiz
