0:0:1 | smosercan(11): yok ya 
0:18:29 | Brokoli(7): yerse
0:18:31 | huso608(10): kick yedin neden kýzýyorsun
0:18:44 | huso608(10): hýmm bi dusunelim o zaman git dersini yap
0:18:49 | Brokoli(7): tm
0:18:59 | Brokoli(7): kick atmadan çýkmam
0:19:4 | huso608(10): 26 yasýna gel beraber yapýcaz kicki
0:19:17 | [CMD] nik0tin(9) => /dtemizle 
0:19:18 | [CMD] huso608(10) => /work
0:19:24 | [CMD] nik0tin(9) => /banid 
0:19:24 | Brokoli(7): hadi
0:19:26 | [CMD] huso608(10) => /a pust gitmiyorda
0:19:27 | [CMD] nik0tin(9) => /ban 
0:19:32 | huso608(10): istek almýyoruz
0:19:33 | Brokoli(7): yemedi
0:19:35 | [CMD] nik0tin(9) => /a 1 saat atsak mý :D 
0:19:38 | Brokoli(7): tusuf yusuf
0:19:39 | nik0tin(9): yer ama 
0:19:48 | Brokoli(7): yemez
0:19:49 | nik0tin(9): kara veriyoruz 
0:19:54 | Brokoli(7): ver
0:20:1 | [CMD] huso608(10) => /mute 7 60 sus tamam atamýyoruz sen kazandýn
0:20:3 | [CMD] Jodor(0) => /odunsat
0:20:25 | [CMD] nik0tin(9) => /a neyse þimdi þikayet eder bu 
0:20:29 | [CMD] Jodor(0) => /meslek
0:20:30 | [CMD] huso608(10) => /a bekleriz
0:20:32 | {FFCC00}Jodor(0) {FFFFFF}Kamyoncu olarak spawn oldu.
0:20:35 | [CMD] Jodor(0) => /rescue
0:20:45 | [CMD] Jodor(0) => /sirketdorse
0:21:3 | [CMD] huso608(10) => /work
0:21:16 | Brokoli(7): huso kiklesene hadi
0:21:23 | nik0tin(9): brokoli
0:21:25 | Brokoli(7): ne
0:21:28 | huso608(10): gene basladý sen cýkarsan cýk reis
0:21:37 | nik0tin(9):  /q komutu var 
0:21:38 | Brokoli(7): offf ok hadi bb
0:21:40 | Brokoli(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:21:46 | Jodor(0): trendeki çýk
0:21:55 | [CMD] huso608(10) => /spec 9
0:22:4 | nik0tin(9): :D 
0:22:8 | [CMD] huso608(10) => /specoff
0:22:8 | huso608(10) Oduncu olarak spawn oldu.
0:22:11 | [CMD] huso608(10) => /sac
0:22:17 | [CMD] Jodor(0) => /work
0:22:30 | Jodor(0): görevdeyim
0:22:35 | [CMD] Jodor(0) => /asiriyuk
0:22:43 | nik0tin(9): tren aþýrý yolcu almýþ 
0:22:48 | [CMD] huso608(10) => /work
0:23:2 | [CMD] huso608(10) => /duyuru mafyalara bak treni de soyuyorlar
0:23:4 | Jodor(0): ne zman gelecek
0:23:8 | Jodor(0): makinist
0:23:13 | Jodor(0): mesleði
0:23:24 | huso608(10): var mý oyle bi meslek 
0:23:35 | huso608(10): dusunce onaylandý mý 
0:23:36 | Jodor(0): evonun eski sw sinde vardý sanki
0:23:37 | nik0tin(9): varda kimse fikir iletmedi 
0:23:50 | huso608(10): hayýrlisi ile olur insallah
0:23:56 | Jodor(0): olur bence güzel olur
0:24:1 | nik0tin(9): argeye demek lazým 
0:24:4 | huso608(10): sw miz guzel renklendirmek daha da ic acýyor
0:24:31 | nik0tin(9): ama limit olmalý herkes olursa ttrenler iç içe 
0:24:38 | nik0tin(9): kargaþa çýkar 
0:24:40 | [CMD] huso608(10) => /work
0:24:48 | Jodor(0): araç gibi olur
0:24:53 | huso608(10): o tren senin bu tren benim gibi mi
0:24:53 | Jodor(0): araç biterse
0:24:56 | Jodor(0): süremen
0:25:9 | nik0tin(9): istasyonlar olcak gidiþ geliþ 
0:25:13 | Jodor(0): þu karþý verdan port yaylasýndan geç katar katar
0:25:19 | Jodor(0): :)
0:25:25 | Jodor(0): katar=tren demek
0:25:34 | nik0tin(9): :D 
0:25:44 | Jodor(0): baþýmda bere elimde sarý madenden boru
0:25:54 | Jodor(0): gidiyorum katarýn gittiði yere doðru çüh çüh çüh
0:26:1 | Jodor(0): erkin koray ýn þarkýsý
0:26:6 | huso608(10): ivit
0:26:14 | Jodor(0): kemal sunal ýn deli deli küpeli filminde de kullanýlmýþtý
0:26:16 | nik0tin(9): trene binmeyi severdim küçükken metro çýktý þimdide 
0:26:25 | [CMD] huso608(10) => /work
0:26:27 | Jodor(0): yoksa çarýklý milyoner miydi :/
0:26:29 | nik0tin(9): banliyö hattý vardý 
0:26:34 | Jodor(0): çarýklý milyoner
0:26:47 | Jodor(0): tren yolculuðu yapmýþtým
0:26:51 | Jodor(0): konya-adana
0:26:54 | Jodor(0): konya-ankara
0:26:56 | nik0tin(9): onlarda neler oluyor bitiyor bilmiyorum ismi biliyorum ama 
0:27:3 | Jodor(0): konya-eskiþehir-istanbul(pendik)
0:27:13 | nik0tin(9): banliyo hattý mý 
0:27:14 | Jodor(0): metro o
0:27:15 | huso608(10): sen baya bi gezmisin
0:27:23 | Jodor(0): baba okuduk biz ya :/
0:27:32 | nik0tin(9): kars - ankara istiyor caným 
0:27:40 | Jodor(0): o da sýktý ya
0:27:40 | nik0tin(9): doðu expres 
0:27:43 | huso608(10): biz de hayatýmýz borc odemekle gecti
0:27:51 | Jodor(0): popülerlik oldu mu sevmiyorum
0:27:57 | nik0tin(9): bende þehir hayatýndan bktým 
0:28:5 | Jodor(0): biz hala ödüyoruz :/
0:28:12 | nik0tin(9): borç heryerde 
0:28:20 | huso608(10): benim gecen sene temmuz da bitirdim
0:28:34 | huso608(10): 5 senede 650 bin odedim
0:28:43 | Jodor(0): ev borcu mu ne
0:28:45 | [CMD] huso608(10) => /work
0:28:55 | huso608(10): 500 bin dost borcu sagolsunlar
0:29:3 | huso608(10): 150 bin dugun iptali
0:29:5 | Jodor(0): kime kefil oldun
0:29:9 | Jodor(0): evet
0:29:13 | huso608(10): dostlarima 
0:29:15 | Jodor(0): bahsetmiþtin bunun gibi biþey
0:29:19 | huso608(10): aynen
0:29:37 | huso608(10): hayat be baba yasamayý seviceksin saclarý bosuna dokmedik
0:29:53 | Jodor(0): bizim ailenin durumu iyide bana hayýrlarý yok :/
0:30:2 | Jodor(0): þu an çalýþmýyorum
0:30:4 | huso608(10): olsun arkanda duran bi ailen var
0:30:10 | Jodor(0): proje kurs eðitimi bitti
0:30:23 | nik0tin(9): evet
0:30:25 | Jodor(0): istanbulda bi firma var gel diyor da
0:30:30 | [CMD] huso608(10) => /work
0:30:33 | Jodor(0): ajans
0:30:38 | huso608(10): istanbul neresinde
0:30:45 | nik0tin(9): ünlü yerdedir 
0:30:47 | Jodor(0): kadýköydeymiþ 
0:30:59 | huso608(10): yasam standartlarý agýr baskan olumlu dusun oyle git
0:30:59 | nik0tin(9): mekaný gibi 
0:31:14 | nik0tin(9): kurumsal iþler güzel 
0:31:20 | Jodor(0): istanbulu her yerini biliyorumd
0:31:24 | Jodor(0): zor iþler
0:31:34 | Jodor(0): kadýköy de yaþamak güzel de kiralar uçuyor
0:31:37 | huso608(10): aynen ben ozel soforluk yaptým 6 ay orada
0:31:55 | huso608(10): kiralar cok pahali dedigin gibi yasam zor
0:32:8 | Jodor(0): ev ile iþ yakýn olursa süper olur da
0:32:15 | [CMD] huso608(10) => /work
0:32:20 | nik0tin(9): bizim oturduðumuz evin üst katý 2000 tl kirasý 
0:32:26 | huso608(10): onun icin diyorum ya iyi dusun iyi olsun
0:32:26 | Jodor(0): oha
0:32:44 | [KAMYONCU] Jodor, Veardant Port'den Longway Warehouse'e Silah tasidi. Kazanc: 472146$, 1 Skor ve 5 EXP Sure: 476 Saniye
0:32:44 | nik0tin(9): dubleks diye 
0:32:46 | Jodor(0): yükseklisans iþi olursa kalýrým
0:32:47 | huso608(10): ben sasýrmýyorum artýk hayat pahali
0:32:52 | Jodor(0): bi ajansta çalýþýrým
0:33:9 | Jodor(0): ales i bilen var mý
0:33:17 | nik0tin(9): þirket mi
0:33:19 | Jodor(0): ales=yükseköðretim sýnavý öss nin
0:33:23 | nik0tin(9): haa
0:33:26 | sezzer(7) oyuna girdi [IP: 85.104.96.238]
0:33:35 | 
0:33:37 | huso608(10): benzin bile 6.15 olduktan sonra sasirmýyorum
0:33:37 | Jodor(0): 80 aldým da
0:33:38 | {FFCC00}sezzer(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:33:40 | tavsanpaladin55(8) oyuna girdi [IP: 88.240.52.24]
0:33:43 | nik0tin(9): çok mantýksýz sýnav benim için 
0:33:48 | Jodor(0): yabancý dilden de almam
0:33:51 | nik0tin(9): paragraflar var 
0:33:52 | huso608(10): ales biliyorum 
0:33:53 | [CMD] sezzer(7) => /sa
0:33:56 | [CMD] huso608(10) => /as
0:33:57 | [CMD] nik0tin(9) => /as 
0:33:58 | 
0:34:0 | [CMD] Jodor(0) => /as
0:34:0 | [CMD] huso608(10) => /work
0:34:4 | tavsanpaladin55(8) Mafya olarak spawn oldu.
0:34:6 | Jodor(0): valla hiç çalýþmadým 80 aldým :)
0:34:9 | [CMD] tavsanpaladin55(8) => /sa
0:34:12 | [CMD] huso608(10) => /as
0:34:13 | [CMD] Jodor(0) => /as
0:34:15 | nik0tin(9): okumaya dayalý
0:34:23 | [CMD] Jodor(0) => /vtamir
0:34:25 | [CMD] Jodor(0) => /kemer
0:34:27 | nik0tin(9): benim kafa okumayý almýyo sayý görcek 
0:34:36 | Jodor(0): okuman lazým
0:34:39 | [CMD] tavsanpaladin55(8) => /pm 7 týrcýlýk mý yapýcan
0:34:40 | sezzer(7): bende tam tersi
0:34:43 | nik0tin(9): yapamýyorum ki
0:34:45 | [CMD] sezzer(7) => /pm 8 yok la 
0:34:49 | huso608(10): @9 benim kafaya yakýnsýn para olacak isin icinde
0:34:50 | Jodor(0): kitap oku
0:35:3 | nik0tin(9): :D 
0:35:3 | Jodor(0): lag
0:35:10 | nik0tin(9): okuyamýyom zorla oda 
0:35:23 | huso608(10): muzikle aran nasýl nikotin baba
0:35:23 | nik0tin(9): mat çözüyorum 
0:35:24 | Jodor(0): hafif öyküler de n baþlarsan iyi olur
0:35:28 | [CMD] sezzer(7) => /pm 8 ee napalým
0:35:38 | nik0tin(9): güzel þeyler va 95 model müzik dinliyorum 
0:35:49 | [CMD] tavsanpaladin55(8) => /pm 7 ee nabalým 
0:35:55 | huso608(10): hýmm nostaljik diyorsun yani
0:35:56 | [CMD] tavsanpaladin55(8) => /pm 7 klaka gidelim
0:35:57 | [CMD] huso608(10) => /work
0:35:59 | nik0tin(9): þu problem sorularý var ya 
0:36:3 | nik0tin(9): matda
0:36:6 | [CMD] sezzer(7) => /pm 8 klak nere lan
0:36:13 | [CMD] sezzer(7) => /karakol
0:36:15 | [CMD] tavsanpaladin55(8) => /pm 7 ne bileyim öyle sorunca kendimi sanalikada sandým aq
0:36:17 | nik0tin(9): okuyorum hikaye gibi sayýlarý yazýyorum çýt çýkýyo 
0:36:17 | Jodor(0): þýklardan da gidebilirsin ona sana bi ipucu vereyim
0:36:24 | [CMD] tavsanpaladin55(8) => /modifiye
0:36:25 | [CMD] sezzer(7) => /cezaode
0:36:28 | [CMD] sezzer(7) => /meslek
0:36:30 | [SirketCHT] Jodor(0): ! paladin maaþ aldýn mý
0:36:32 | nik0tin(9): garip iþlemler yapýyorum 
0:36:32 | sezzer(7) Mafya olarak spawn oldu.
0:36:34 | [CMD] tavsanpaladin55(8) => /sirket
0:36:35 | [CMD] sezzer(7) => /rescue
0:36:36 | nik0tin(9): çýkýyo :D 
0:36:46 | tavsanpaladin55(8) oyundan cIktI (Hata/Crash) (IP: 88.240.52.24)
0:36:53 | [CMD] Hamza.Tr(6) => /komutlar
0:36:54 | [CMD] Jodor(0) => /work
0:37:5 | [CMD] Hamza.Tr(6) => /rescue
0:37:6 | [CMD] Jodor(0) => /akilitle
0:37:8 | nik0tin(9): x nedir diyince þýkdan seçip saðlama yapmasý var :D 
0:37:9 | [CMD] Jodor(0) => /akilitle
0:37:12 | [CMD] Jodor(0) => /asiriyuk
0:37:16 | tavsanpaladin55(8) oyuna girdi [IP: 88.240.52.24]
0:37:16 | huso608(10): hýmm
0:37:27 | 
0:37:37 | tavsanpaladin55(8) Mafya olarak spawn oldu.
0:37:39 | Jodor(0): çarpanlara ayýrma :)
0:37:42 | huso608(10): x ve y ler karýsým yaptýgýnda islemler uzuyor
0:37:45 | nik0tin(9): o basit :D 
0:37:50 | [CMD] huso608(10) => /work
0:37:55 | Jodor(0): deðere 1 ya da 2 ver
0:38:0 | nik0tin(9): türev integral logaritma :D 
0:38:0 | [LOCAL]tavsanpaladin55(8): kanka ziyaretleri
0:38:0 | [CMD] tavsanpaladin55(8) => /l kanka ziyaretleri
0:38:3 | [LOCAL]tavsanpaladin55(8): sonra yapýcaz
0:38:3 | [CMD] tavsanpaladin55(8) => /l sonra yapýcaz
0:38:4 | Jodor(0): þýklarda ayný olmamasý sonuç
0:38:6 | [LOCAL]sezzer(7): aynen
0:38:6 | [CMD] sezzer(7) => /l aynen
0:38:13 | [LOCAL]sezzer(7): daha geç vakitte
0:38:13 | [CMD] sezzer(7) => /l daha geç vakitte
0:38:16 | [LOCAL]tavsanpaladin55(8): ee þimdi neyle uðraþýcaz
0:38:16 | [CMD] tavsanpaladin55(8) => /l ee þimdi neyle uðraþýcaz
0:38:18 | [LOCAL]sezzer(7): þimdi napalý
0:38:18 | [CMD] sezzer(7) => /l þimdi napalý
0:38:28 | [LOCAL]tavsanpaladin55(8): hmmm
0:38:28 | [CMD] tavsanpaladin55(8) => /l hmmm
0:38:39 | [CMD] sezzer(7) => /araba
0:38:49 | [LOCAL]tavsanpaladin55(8): havada çarpýþmayý deniyelim
0:38:49 | [CMD] tavsanpaladin55(8) => /l havada çarpýþmayý deniyelim
