0:0:9 | huso608(11): inceliyorum
0:3:24 | [CMD] huso608(11) => /a ne adamsýn
0:3:26 | sezzer(8): önünde bekliyodun knk ora mý
0:3:29 | [CMD] Sancak(7) => /a niye :dsa
0:3:31 | [CMD] huso608(11) => /a tas def
0:3:33 | [A.s.i]KraL(12): l :D
0:3:34 | BeylerBeyi(19): yok orasý satýlýkmýþ
0:3:36 | BeylerBeyi(19): diðer yer
0:3:36 | [CMD] huso608(11) => /a tas degmesin
0:3:40 | sezzer(8): haa
0:3:45 | Jodor(0): aþaðýda ya
0:3:45 | [CMD] Sancak(7) => /a AS:D
0:3:50 | [LOCAL][A.s.i]KraL(12): arkamdan gec
0:3:50 | [CMD] [A.s.i]KraL(12) => /l arkamdan gec
0:3:54 | sezzer(8): yeþillik olan yer mi
0:4:0 | BeylerBeyi(19): yeþillik ?
0:4:1 | [CMD] bay.potiy(25) => /c si bizi takip ediyo
0:4:3 | BeylerBeyi(19): yok 
0:4:5 | [LOCAL][A.s.i]KraL(12): bi kerede beles gec ne olcak :D
0:4:5 | [CMD] [A.s.i]KraL(12) => /l bi kerede beles gec ne olcak :D
0:4:7 | sezzer(8): map de yeþillik
0:4:7 | [CMD] BeylerBeyi(19) => /sirket
0:4:8 | [CMD] huso608(11) => /a baskan benim attýgým fotolarý ýnceledinmi
0:4:13 | BeylerBeyi(19): yok yeþillik deðil
0:4:14 | [LOCAL][A.s.i]KraL(12): demi .D
0:4:14 | [CMD] [A.s.i]KraL(12) => /l demi .D
0:4:15 | [CMD] BeylerBeyi(19) => /sirket
0:4:17 | [CMD] bay.potiy(25) => /c asi
0:4:19 | [CMD] Sancak(7) => /a yok abi iþim vardý
0:4:20 | sezzer(8): neyse gösterirsin :ÇD
0:4:26 | nefariouss(13): yani
0:4:29 | [CMD] Jodor(0) => /c beyler seri olun
0:4:35 | Konyali42(15): asi ? convoy takip etme
0:4:38 | [CMD] Sancak(7) => /adminol
0:4:39 | [SirketCHT] [A.s.i]KraL(12): ! ban acýldý haci ben hesaba gecerim harbourdan katýlýrým
0:4:43 | Jodor(0): bb
0:4:46 | BeylerBeyi(19): ßß
0:4:46 | Sancak(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:4:49 | [SirketCHT] Jodor(0): ! ok
0:4:50 | [CMD] huso608(11) => /work
0:5:6 | [A.s.i]KraL(12): Takip Etmiyorum Zaten Bekliyorum Oyle
0:5:14 | [CMD] huso608(11) => /spec 12
0:5:23 | [CMD] Konyali42(15) => /c jodor res gelecekmi simdi gelmeyecekmi
0:5:30 | [CMD] huso608(11) => /specoff
0:5:30 | huso608(11) Oduncu olarak spawn oldu.
0:5:34 | [CMD] Jodor(0) => /c sancak gittiðine göre gelmeyecek :)
0:5:39 | [CMD] Konyali42(15) => /c iyi :D
0:5:41 | [CMD] BeylerBeyi(19) => /sapark
0:5:45 | [CMD] BeylerBeyi(19) => /sirket
0:5:46 | [CMD] [A.s.i]KraL(12) => /pm 0 haci sirketten cikiyorum bos yer kalsýn 
0:5:49 | [CMD] Jodor(0) => /c þirket alanalra res geliyorda ondan dedim
0:5:54 | [CMD] Jodor(0) => /pm 12 aynen
0:5:59 | [CMD] BeylerBeyi(19) => /sirket
0:6:1 | [CMD] [A.s.i]KraL(12) => /pm 0 bunu alamadýk buraya gelmiyor got :S
0:6:6 | [CMD] GSpor1991(10) => /tamir
0:6:16 | [CMD] [A.s.i]KraL(12) => /pm 0 gelse buda iyi kasar
0:6:20 | Konyali42(15): beylerbeyi seninkidemi 20 kisilik
0:6:35 | Sancak(7) oyuna girdi [IP: 78.162.146.162]
0:6:36 | [CMD] Jodor(0) => /sirket
0:6:40 | [A.s.i]KraL(12): Herkese Ýyi Oyunlar Dilerim !!!
0:6:41 | [A.s.i]KraL(12): Herkese Ýyi Oyunlar Dilerim !!!
0:6:44 | huso608(11): sanada
0:6:45 | BeylerBeyi(19): Evet ama diðer ay artacak
0:6:45 | [cCc]HulkHulk[cCc](27): eyw
0:6:47 | 
0:6:48 | {FFCC00}Sancak(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:6:49 | BeylerBeyi(19): ßß
0:6:49 | [CMD] Sancak(7) => /admgiris
0:6:50 | [A.s.i]KraL(12) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:6:54 | [CMD] Sancak(7) => /restart 3
0:6:57 | [CMD] huso608(11) => /odunsat
0:6:59 | Fatihbayakir(9) oyuna girdi [IP: 78.171.88.241]
0:6:59 | [CMD] Sancak(7) => /adminol
0:7:0 | Sancak(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:7:0 | [SirketCHT] Konyali42(15): ! hayda :D
0:7:2 | [CMD] BeylerBeyi(19) => /sirketdorse
0:7:6 | [SirketCHT] [cCc]HulkHulk[cCc](27): ! :D
0:7:11 | [CMD] Jodor(0) => /c gaza basýn
0:7:15 | 
0:7:17 | [CMD] sezzer(8) => /c pohu yedik
0:7:18 | Asi_Kaptan(7) oyuna girdi [IP: 88.233.100.39]
0:7:22 | [CMD] BeylerBeyi(19) => /sirket
0:7:26 | 
0:7:29 | {FFCC00}Asi_Kaptan(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:7:29 | [CMD] Konyali42(15) => /c ben bitirdim :d
0:7:30 | [CMD] Asi_Kaptan(7) => /sa
0:7:33 | [CMD] huso608(11) => /as
0:7:37 | huso608(11): hos geldin
0:7:38 | {FFCC00}Fatihbayakir(9) {FFFFFF}Kamyoncu olarak spawn oldu.
0:7:38 | [CMD] Jodor(0) => /as
0:7:42 | [CMD] BeylerBeyi(19) => /katki
0:7:45 | [CMD] DarkFlow(6) => /as
0:7:50 | [CMD] BeylerBeyi(19) => /as
0:7:50 | [CMD] sezzer(8) => /c bende bitirdim
0:7:54 | [CMD] Fatihbayakir(9) => /kemer
0:7:58 | Fatihbayakir(9): öodifiye
0:8:1 | [CMD] Asi_Kaptan(7) => /sirket
0:8:3 | [CMD] Fatihbayakir(9) => /modifiye
0:8:5 | huso608(11):   /modifiye
0:8:15 | [CMD] Konyali42(15) => /c jodor uzak olanlari kickle
0:8:19 | [CMD] Jodor(0) => /c beyler gaza basýn
0:8:34 | [CMD] BeylerBeyi(19) => /d sancak þirketin araç rengini ve duyurusunu deðiþtirebilirmiyim ?
0:8:35 | [CMD] sezzer(8) => /c 8 kiþi 2 dk da bitmez
0:8:37 | [CMD] Asi_Kaptan(7) => /pm 0 haci bizi niye tirci yaptýn :S
0:8:37 | [CMD] Jodor(0) => /c herkes yetiþecek
0:8:41 | [CMD] sezzer(8) => /c sona kalanlarý atarsýn
0:8:46 | [CMD] Konyali42(15) => /c aga bosver para gelsin
0:8:46 | [CMD] BeylerBeyi(19) => /duyuru
0:8:48 | nefariouss(13): geldik
0:8:48 | [CMD] Konyali42(15) => /c aga bosver para gelsin
0:8:49 | [CMD] BeylerBeyi(19) => /sirket
0:8:50 | Asi_Kaptan(7): Res Atýlýrsa Ýyi Olur 
0:8:51 | [CMD] [cCc]HulkHulk[cCc](27) => /c geldýler
0:8:52 | [CMD] Jodor(0) => /pm 7 15 günlük ban dediler ondan
0:8:54 | [CMD] bay.potiy(25) => /c gedik
0:8:57 | [CMD] Konyali42(15) => /c yazmayin siz basin
0:8:57 | [CMD] Konyali42(15) => /c yazmayin siz basin
0:8:59 | [CMD] huso608(11) => /d gitti
0:9:2 | [CMD] BeylerBeyi(19) => /rescue
0:9:3 | [CMD] Asi_Kaptan(7) => /pm 0 kim dedi onu :D
0:9:4 | [CMD] BeylerBeyi(19) => /d .D
0:9:7 | [CMD] Asi_Kaptan(7) => /rescue
0:9:8 | [CMD] huso608(11) => /d ozele yazsana
0:9:12 | [CMD] Asi_Kaptan(7) => /mesþek
0:9:15 | [CMD] Asi_Kaptan(7) => /meslek
0:9:17 | {FFCC00}Asi_Kaptan(7) {FFFFFF}Polis olarak spawn oldu.
0:9:21 | [CMD] Konyali42(15) => /c en uzun mesafe jodor
0:9:23 | [CMD] Konyali42(15) => /c en uzun mesafe jodor
0:9:26 | [CMD] Jodor(0) => /c çok az
0:9:26 | [CMD] [cCc]HulkHulk[cCc](27) => /c bekleyýn
0:9:27 | [CMD] BeylerBeyi(19) => /rescue
0:9:28 | [CMD] Konyali42(15) => /c kac
0:9:29 | [CMD] Asi_Kaptan(7) => /gobyus
0:9:30 | [CMD] Jodor(0) => /c 500metre
0:9:31 | [CMD] Asi_Kaptan(7) => /gobus
0:9:36 | [CMD] [cCc]HulkHulk[cCc](27) => /c kapýdalr mýs
0:9:36 | [CMD] Konyali42(15) => /c kimse bassin
0:9:36 | [CMD] Asi_Kaptan(7) => /icerigir
0:9:36 | [CMD] Konyali42(15) => /c kimse bassin
0:9:39 | [CMD] Asi_Kaptan(7) => /isyerimenu
0:9:39 | [CMD] BeylerBeyi(19) => /d aga bug var þirkette
0:9:40 | [CMD] Konyali42(15) => /c BAS
0:9:43 | [CMD] Asi_Kaptan(7) => /isyerimenu
0:9:45 | [CMD] Jodor(0) => /c gaza basýn
0:9:47 | [CMD] Asi_Kaptan(7) => /gobus
0:9:47 | [CMD] huso608(11) => /d res geliyor
0:9:50 | [CMD] Asi_Kaptan(7) => /icerigir
0:9:50 | [CMD] Konyali42(15) => /c bittimi
0:9:52 | [CMD] Asi_Kaptan(7) => /gobus
0:9:54 | [CMD] BeylerBeyi(19) => /sirket
0:9:56 | [CMD] Asi_Kaptan(7) => /isyerimenu
0:9:57 | [CMD] sezzer(8) => /c ohhh
0:10:4 | [CMD] DarkFlow(6) => /c :D
0:10:5 | Jodor(0): haha
0:10:5 | [CMD] Asi_Kaptan(7) => /isyerimenu
0:10:5 | Konyali42(15): helal 
0:10:6 | sezzer(8): helal beyler
0:10:9 | Fatihbayakir(9): bený konvoyuna alacak varmý
0:10:9 | sezzer(8): bitirdik
0:10:9 | [CMD] nefariouss(13) => /c ter döktüm :d
0:10:9 | Jodor(0): res gelsin
0:10:11 | Asi_Kaptan(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:10:12 | [cCc]HulkHulk[cCc](27): :D
0:10:12 | Jodor(0): convoy bitti
0:10:17 | [cCc]HulkHulk[cCc](27): aynen gelsýn gonder
0:10:20 | sezzer(8): skorlarýnýzý ss alýn
0:10:20 | Fatihbayakir(9): bený konvýyuna alacak
0:10:21 | sezzer(8): skorlarýnýzý ss alýn
0:10:25 | sezzer(8): sýfýrlanmasýn
0:10:30 | [CMD] BeylerBeyi(19) => /saracrespawn
0:10:33 | Jodor(0) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | DarkFlow(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | sezzer(8) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | Fatihbayakir(9) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | GSpor1991(10) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | huso608(11) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | nefariouss(13) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | Konyali42(15) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | BeylerBeyi(19) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | bay.potiy(25) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:34 | [cCc]HulkHulk[cCc](27) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:10:39 | Sunucu kapatildi.
0:10:52 | Sunucu calistirildi.
0:11:12 | Konyali42(6) oyuna girdi [IP: 77.177.180.51]
0:11:17 | sezzer(7) oyuna girdi [IP: 85.96.129.130]
0:11:19 | 
0:11:20 | BeylerBeyi(8) oyuna girdi [IP: 85.98.79.69]
0:11:21 | {FFCC00}Konyali42(6) {FFFFFF}Kamyoncu olarak spawn oldu.
0:11:26 | Konyali42(6): aga
0:11:29 | 
0:11:29 | 
0:11:31 | {FFCC00}sezzer(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:11:33 | [CMD] sezzer(7) => /sa
0:11:34 | Jodor(9) oyuna girdi [IP: 95.7.126.130]
0:11:35 | {FFCC00}BeylerBeyi(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:11:36 | nefariouss(10) oyuna girdi [IP: 176.33.253.222]
0:11:36 | Konyali42(6): direk docks dan baslayalim
0:11:37 | [CMD] Konyali42(6) => /as
0:11:38 | [CMD] Konyali42(6) => /as
0:11:40 | [cCc]HulkHulk[cCc](11) oyuna girdi [IP: 176.217.129.150]
0:11:40 | Konyali42(6): direk docks dan baslayalim
0:11:40 | DarkFlow(12) oyuna girdi [IP: 78.178.90.188]
0:11:41 | GSpor1991(13) oyuna girdi [IP: 176.217.129.150]
0:11:43 | bay.potiy(14) oyuna girdi [IP: 46.1.133.153]
0:11:44 | 
0:11:46 | [CMD] BeylerBeyi(8) => /sirket
0:11:47 | sezzer(7): nasý baþlýcaz lan dockdan
0:11:48 | {FFCC00}Jodor(9) {FFFFFF}Kamyoncu olarak spawn oldu.
0:11:50 | Konyali42(6): cünkü orda daha cok tir var
0:11:51 | 
0:11:52 | 
0:11:53 | [SirketCHT] Jodor(9): ! beyler siz devam edin
0:11:55 | {FFCC00}DarkFlow(12) {FFFFFF}Kamyoncu olarak spawn oldu.
0:11:56 | Konyali42(6): direk docks dan baslayalim
0:11:56 | {FFCC00}GSpor1991(13) {FFFFFF}Kamyoncu olarak spawn oldu.
0:11:57 | Konyali42(6): cünkü orda daha cok tir var
0:11:59 | [SirketCHT] Jodor(9): ! benim iþlerim var
0:12:1 | Fatihbayakir(15) oyuna girdi [IP: 78.171.88.241]
0:12:7 | [ANTIHACK] Þüpheli GSpor1991(13) => Airbreak-hack
0:12:7 | GSpor1991(13) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:12:8 | [CMD] Konyali42(6) => /convoy
0:12:10 | [CMD] sezzer(7) => /gobus
0:12:10 | 
0:12:11 | 
0:12:13 | {FFCC00}Fatihbayakir(15) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:13 | 
0:12:14 | huso608(13) oyuna girdi [IP: 178.245.131.199]
0:12:14 | {FFCC00}bay.potiy(14) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:15 | Asi_Kaptan(16) oyuna girdi [IP: 88.233.100.39]
0:12:16 | 
0:12:18 | [CMD] sezzer(7) => /icerigir
0:12:19 | [SirketCHT] Jodor(9): ! h.o. :)
0:12:21 | Konyali42(6): kac kisiyiz bi görelim
0:12:22 | [CMD] sezzer(7) => /isyerimenu
0:12:24 | [CMD] sezzer(7) => /isyerimenu
0:12:24 | [SirketCHT] DarkFlow(12): ! saðol :D
0:12:27 | {FFCC00}[cCc]HulkHulk[cCc](11) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:27 | [LOCAL]Jodor(9): staffordu sattým
0:12:27 | [CMD] Jodor(9) => /l staffordu sattým
0:12:29 | [SirketCHT] Konyali42(6): ! neye h.o. D:
0:12:29 | {FFCC00}nefariouss(10) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:29 | [SirketCHT] bay.potiy(14): ! eyvallah
0:12:31 | [CMD] sezzer(7) => /icerigir
0:12:32 | [cCc]HulkHulk[cCc](11): selamýn aleykum
0:12:32 | [LOCAL]DarkFlow(12): iyi
0:12:32 | [CMD] DarkFlow(12) => /l iyi
0:12:32 | [CMD] sezzer(7) => /isyerimenu
0:12:33 | [CMD] Konyali42(6) => /sirket
0:12:33 | [CMD] Jodor(9) => /araba
0:12:34 | [CMD] sezzer(7) => /isyerimenu
0:12:35 | [CMD] BeylerBeyi(8) => /as
0:12:39 | 
0:12:39 | 
0:12:40 | [CMD] Fatihbayakir(15) => /kemer
0:12:41 | [CMD] [cCc]HulkHulk[cCc](11) => /c selamýn aleykum
0:12:43 | [CMD] sezzer(7) => /icerigir
0:12:43 | {FFCC00}Asi_Kaptan(16) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:44 | [CMD] sezzer(7) => /isyerimenu
0:12:45 | Konyali42(6): convoy gelin
0:12:45 | huso608(13) Oduncu olarak spawn oldu.
0:12:46 | [CMD] sezzer(7) => /isyerimenu
0:12:46 | Sancak(17) oyuna girdi [IP: 78.162.146.162]
0:12:47 | [SirketCHT] [cCc]HulkHulk[cCc](11): ! selamýn aleykum
0:12:47 | [CMD] Konyali42(6) => /convoy
0:12:48 | [CMD] BeylerBeyi(8) => /dtemizle
0:12:50 | [SirketCHT] DarkFlow(12): ! as
0:12:50 | [SirketCHT] Konyali42(6): ! as
0:12:54 | 
0:12:56 | {FFCC00}Sancak(17) {FFFFFF}Kamyoncu olarak spawn oldu.
0:12:59 | [CMD] Asi_Kaptan(16) => /sa
0:12:59 | [SirketCHT] Jodor(9): ! arkadaþlar yavaþ sürün
0:13:1 | [CMD] DarkFlow(12) => /as
0:13:2 | sezzer(7): 250 k atacak var mý kumarhaneye basacam beyler
0:13:2 | Konyali42(6): res e kafa atan convoyun seri kamyonculari convoy gelin :D
0:13:10 | [CMD] Asi_Kaptan(16) => /convoy
0:13:11 | [CMD] [cCc]HulkHulk[cCc](11) => /sirketdorse
0:13:12 | GSpor1991(18) oyuna girdi [IP: 176.217.129.150]
0:13:12 | [CMD] Sancak(17) => /admgiris
0:13:16 | [CMD] bay.potiy(14) => /sirketdorse
0:13:16 | [CMD] Jodor(9) => /sirket
0:13:18 | [CMD] Fatihbayakir(15) => /kemer
0:13:18 | [CMD] DarkFlow(12) => /sirket
0:13:20 | [LOCAL]Konyali42(6): -.-
0:13:20 | [CMD] Konyali42(6) => /l -.-
0:13:30 | 
0:13:33 | {FFCC00}GSpor1991(18) {FFFFFF}Kamyoncu olarak spawn oldu.
0:13:36 | [CMD] BeylerBeyi(8) => /sirket
0:13:38 | Konyali42(6):  /convoy a gelin beyler
0:13:41 | [CMD] sezzer(7) => /convoy
0:13:44 | sezzer(7): 250 k atacak var mý kumarhaneye basacam beyler
0:13:52 | nefariouss(10): nerdee konvoy
0:13:57 | [CMD] sezzer(7) => /rescue
0:13:57 | [CMD] Konyali42(6) => /gobus
0:13:59 | [CMD] Jodor(9) => /sirket
0:14:1 | [CMD] Asi_Kaptan(16) => /pm 10 haci beraber yapalým mý ?
0:14:1 | [CMD] [cCc]HulkHulk[cCc](11) => /tamir
0:14:2 | [CMD] Konyali42(6) => /icerigir
0:14:5 | [CMD] Konyali42(6) => /isyerimenu
0:14:7 | [CMD] Konyali42(6) => /gobus
0:14:11 | [CMD] Konyali42(6) => /icerigir
0:14:14 | [CMD] Konyali42(6) => /isyerimenu
0:14:16 | [CMD] Asi_Kaptan(16) => /sirketkasa
0:14:16 | [CMD] sezzer(7) => /c nerden baþlýcaz knk
0:14:17 | [CMD] Konyali42(6) => /gobus
0:14:21 | [CMD] Konyali42(6) => /icerigir
0:14:22 | [CMD] Jodor(9) => /pm 16 þimdilik usta týrcý ol haftaya bakarýz
0:14:23 | [CMD] Asi_Kaptan(16) => /sirketkasa
0:14:24 | [CMD] Konyali42(6) => /isyerimenu
0:14:27 | [CMD] GSpor1991(18) => /sirketdorse
0:14:28 | [CMD] Asi_Kaptan(16) => /sirketdorse
0:14:33 | Konyali42(6) sezzer(7)'a 1000000$ para gönderdi
0:14:33 | [CMD] Konyali42(6) => /paragonder 7 1000000
0:14:35 | [CMD] Konyali42(6) => /rescue
0:14:42 | [CMD] Konyali42(6) => /c harbour gelin
0:14:42 | [CMD] Konyali42(6) => /c harbour gelin
0:14:44 | [CMD] sezzer(7) => /c olm 250 k dedim :D
0:14:45 | [LOCAL]DarkFlow(12): bidakine turismo alcam :D
0:14:45 | [CMD] DarkFlow(12) => /l bidakine turismo alcam :D
0:14:47 | [CMD] Fatihbayakir(15) => /convoy
0:14:48 | [CMD] sezzer(7) => /c 1 m naptýn :D
0:14:49 | [LOCAL]Asi_Kaptan(16): senin kasayý aldým yanlýslýkla :s
0:14:49 | [CMD] Asi_Kaptan(16) => /l senin kasayý aldým yanlýslýkla :s
0:14:51 | [LOCAL]Jodor(9): al al :)
0:14:51 | [CMD] Jodor(9) => /l al al :)
0:14:51 | [CMD] Konyali42(6) => /c dün aldim ya knk
0:14:53 | [CMD] [cCc]HulkHulk[cCc](11) => /sirket
0:15:0 | [CMD] bay.potiy(14) => /kurallar
0:15:1 | [CMD] Fatihbayakir(15) => /kurallar
0:15:2 | [CMD] sezzer(7) => /c anaa dün para almýþtýn dem
0:15:4 | [CMD] Konyali42(6) => /kemer
0:15:5 | [CMD] sezzer(7) => /c kafa kalmadý
0:15:6 | [CMD] Asi_Kaptan(16) => /sirketdorse
0:15:8 | [CMD] bay.potiy(14) => /kemer
0:15:10 | [CMD] sezzer(7) => /gobus
0:15:11 | [LOCAL]Jodor(9): yeni þirkete bi h.o. diyelim patronalr olarak :)
0:15:11 | [CMD] Jodor(9) => /l yeni þirkete bi h.o. diyelim patronalr olarak :)
0:15:14 | [CMD] Konyali42(6) => /c ben borcumu unutmam :D
0:15:15 | [CMD] Jodor(9) => /sirket 
0:15:21 | [SirketCHT] [cCc]HulkHulk[cCc](11): ! convoy yapýçaz mý
0:15:23 | [LOCAL]DarkFlow(12): :D
0:15:23 | [CMD] DarkFlow(12) => /l :D
0:15:27 | [SirketCHT] Konyali42(6): ! gel convoya
0:15:29 | [SirketCHT] Jodor(9): ! yapanlar var 
0:15:29 | [SirketCHT] Konyali42(6): ! harbour
0:15:30 | [CMD] sezzer(7) => /c benim muhabbet kuþlarýndan biri öldü knkk bugün 
0:15:33 | [CMD] [cCc]HulkHulk[cCc](11) => /convoy
0:15:34 | [LOCAL]DarkFlow(12): pek sürceni sanmam
0:15:34 | [CMD] DarkFlow(12) => /l pek sürceni sanmam
0:15:36 | [CMD] GSpor1991(18) => /sirketdorse
0:15:37 | [CMD] sezzer(7) => /c kafa kalmadý mk canýmda sýkkýn
0:15:38 | [CMD] BeylerBeyi(8) => /sac
0:15:40 | [LOCAL]DarkFlow(12): ama neyse
0:15:40 | [CMD] DarkFlow(12) => /l ama neyse
0:15:40 | [CMD] Konyali42(6) => /c neden knk
0:15:40 | [CMD] Fatihbayakir(15) => /sac
0:15:41 | [CMD] [cCc]HulkHulk[cCc](11) => /rescue
0:15:42 | [LOCAL]Jodor(9): ben de
0:15:42 | [CMD] Jodor(9) => /l ben de
0:15:43 | [CMD] Asi_Kaptan(16) => /mytime 1
0:15:43 | [CMD] GSpor1991(18) => /convoy
0:15:45 | [CMD] sezzer(7) => /c kafa daðýtayým diye geldim
0:15:47 | [CMD] bay.potiy(14) => /convoy
0:15:50 | [CMD] BeylerBeyi(8) => /asay Ýstek þarký olmadýðý için rastgele açýlmýþtýr... 
0:15:52 | [CMD] BeylerBeyi(8) => /adminol
0:15:55 | [CMD] GSpor1991(18) => /rescue
0:15:57 | Sancak(17): sezzer kardeþim
0:15:57 | [CMD] Asi_Kaptan(16) => /pm 10 yapýyor muyuz gorev ?
0:16:0 | [LOCAL]DarkFlow(12): h.o bakalým :D
0:16:0 | [CMD] DarkFlow(12) => /l h.o bakalým :D
0:16:0 | [CMD] Konyali42(6) => /c basin sagolsun denirmi burda bilmiyorum knk ne diyeyim gecmis olsun diyeyim
0:16:1 | Sancak(17): bir hile görürsen 
0:16:2 | [LOCAL]Jodor(9): bu aracý çok sevdim
0:16:2 | [CMD] Jodor(9) => /l bu aracý çok sevdim
0:16:4 | [CMD] sezzer(7) => /c bilmiyom knk halsiz duruyodu veterinere götürürken yolda öldü
