0:0:1 | Axefi(21): :D
0:2:0 | [CMD] BeylerBeyi(7) => /vipler
0:2:1 | [CMD] sezzer(23) => /animkapat
0:2:2 | [CMD] Axefi(21) => /sigara 1
0:2:5 | [CMD] emre_cool(10) => /cevir
0:2:5 | [CMD] nik0tin(17) => /d deneyimim var :D 
0:2:6 | Adem32(0): výp býtmýþ lan
0:2:6 | [CMD] Axefi(21) => /sigara1
0:2:7 | [CMD] huso608(19) => /d o isleri a7 mi biliyor
0:2:7 | [CMD] emre_cool(10) => /vtamir
0:2:11 | Adem32(0): of
0:2:11 | emre_cool(10): yoo
0:2:12 | [CMD] [eN]Overlord(9) => /pm 0 3m atar mýsýn
0:2:19 | Axefi(21): of bu ekran sallanmasý nasýl geçcek :D
0:2:19 | sezzer(23): ne ara bitti lan
0:2:23 | Adem32(0): yarýn akþam 
0:2:27 | [ANTIHACK] Þüpheli emre_cool(10) => Airbreak-hack
0:2:27 | Adem32(0): atim 
0:2:27 | [CMD] BeylerBeyi(7) => /d valla benim deneyimim yok hiç kurmadým .D
0:2:28 | [CMD] nik0tin(17) => /a a7 lerin yetkisi var /sirketolustur a 
0:2:28 | [eN]Overlord(9):  
0:2:30 | sezzer(23): axefi zamanla geçer yada ölmen lazým
0:2:34 | [eN]Overlord(9): þimdi atsan
0:2:37 | [CMD] nik0tin(17) => /d a7 lerin yetkisi var /sirketolustur a 
0:2:39 | Axefi(21): boðulayým bari :D
0:2:46 | [CMD] huso608(19) => /d sirket yapma isini dedim
0:2:46 | Adem32(0): la sen výp kaznsana
0:2:49 | emre_cool(10): eerkenden sw ye grmiþtir adem vib önce baþlamýþtýr
0:2:49 | [eN]Overlord(9): tinerlendin
0:2:57 | [CMD] emre_cool(10) => /cevir
0:3:0 | [CMD] emre_cool(10) => /vtamir
0:3:9 | [CMD] nik0tin(17) => /d mapýný eklemeyi matite sancak evo yapar 
0:3:13 | [eN]Overlord(9): he
0:3:16 | [CMD] nik0tin(17) => /d dosyalar onda 
0:3:17 | Adem32(0): la sen výp kaznsana
0:3:21 | Adem32(0): 3m
0:3:26 | emre_cool(10): huso benden kesin sýkýldý ikide bir /vtamir /cevir deðilmi huso
0:3:27 | [CMD] BeylerBeyi(7) => /asay Ýstek Þarký Olmadýðý Ýçin Rastgele Açýlmýþtýr...
0:3:28 | [eN]Overlord(9): aa ben ne ara vip oldum lan
0:3:29 | emre_cool(10): huso benden kesin sýkýldý ikide bir /vtamir /cevir deðilmi huso
0:3:30 | {FFCC00}sezzer(23) {FFFFFF}Pilot olarak spawn oldu.
0:3:33 | [CMD] sezzer(23) => /meslek
0:3:34 | Axefi(21) Yol Iscisi olarak spawn oldu.
0:3:36 | Axefi(21): ne ciðer varmýþ bizdede arkadaþ :D
0:3:37 | sezzer(23) Yol Iscisi olarak spawn oldu.
0:3:42 | sezzer(23): valla  lan
0:3:46 | emre_cool(10): :D
0:3:47 | huso608(19): @10 neden sýkýlacam ki
0:3:52 | sezzer(23): ee napalým
0:3:54 | [CMD] Axefi(21) => /sigara1
0:3:56 | emre_cool(10): komut kullanmamdan
0:3:56 | BeylerBeyi(7): Tekno veya Rezidans Alýnýr...
0:4:2 | [CMD] nik0tin(17) => /cantazele 
0:4:6 | [CMD] sezzer(23) => /sigara1
0:4:6 | Adem32(0): biraz once cs 1.6 birne ana avrat sövyordum 
0:4:10 | emre_cool(10): @7 týrcý rezidans satýyordu bilgine
0:4:10 | huso608(19): bizlik bi durum yok siz rahat oynayýn yeter
0:4:14 | Axefi(21): haha poza bak :D
0:4:14 | [CMD] nik0tin(17) => /atamir 
0:4:17 | sezzer(23): asjdghajdgh
0:4:18 | [CMD] [eN]Overlord(9) => /getdorse
0:4:19 | emre_cool(10): vay
0:4:22 | emre_cool(10): :D
0:4:22 | [CMD] [eN]Overlord(9) => /getdorse
0:4:25 | BeylerBeyi(7): onun rezidansý bi iþe yaramýyor :D
0:4:29 | BeylerBeyi(7): yeri güzel deðil
0:4:30 | [KAMYONCU] swisskobay301, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 844056$, 1 Skor ve 5 EXP Sure: 427 Saniye
0:4:33 | [CMD] Axefi(21) => /animkapat
0:4:35 | [CMD] [eN]Overlord(9) => /vtamir
0:4:35 | [CMD] swisskobay301(8) => /sirket
0:4:37 | [CMD] Adem32(0) => /gobus
0:4:38 | [CMD] sezzer(23) => /animkapat
0:4:42 | emre_cool(10): k.g huso
0:4:44 | [CMD] Axefi(21) => /striptizg
0:4:47 | [CMD] emre_cool(10) => /cevir
0:4:49 | [CMD] emre_cool(10) => /vtamir
0:4:50 | [CMD] Axefi(21) => /yardim
0:4:55 | [LOCAL]nik0tin(17): çaktýrma :D 
0:4:55 | [CMD] nik0tin(17) => /l çaktýrma :D 
0:4:56 | huso608(19): sagolasýn sanada
0:4:59 | Adem32(0): id 9 ben bir daki ay gelirm 
0:5:1 | sezzer(23): axefi 
0:5:3 | [eN]Overlord(9): tm
0:5:9 | Axefi(21): buyur
0:5:9 | [CMD] nik0tin(17) => /d hüso dayý tam içe girme eve girersin 
0:5:9 | sezzer(23): duvara bak þimdi knk
0:5:12 | [eN]Overlord(9): huso baba
0:5:13 | Adem32(0) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:5:14 | [eN]Overlord(9): sen a7 olcanmý
0:5:15 | [KAMYONCU] emre_cool, LV Butcher'den SF Supa Save'e Et tasidi. Kazanc: 63651$, 1 Skor ve 5 EXP Sure: 309 Saniye
0:5:19 | [CMD] [eN]Overlord(9) => /admins
0:5:20 | [CMD] emre_cool(10) => /sirket
0:5:26 | [CMD] emre_cool(10) => /work
0:5:27 | Axefi(21): ben bi 200 skor kasayýmda pilot olayým ya :D
0:5:30 | huso608(19): @9 neden
0:5:38 | [eN]Overlord(9): merak ettim
0:5:39 | [CMD] Axefi(21) => /dans
0:5:42 | [CMD] sezzer(23) => /hayatziplamasi
0:5:44 | [CMD] Axefi(21) => /dans1
0:5:45 | sezzer(23): ahsdgghfasd
0:5:47 | emre_cool(10): huso buranýn ismi nedir acaba
0:5:49 | [CMD] sezzer(23) => /animkapat
0:5:49 | Axefi(21): öldü lan
0:5:52 | sezzer(23): hgasdhgfa
0:5:56 | [CMD] swisskobay301(8) => /pm 13 dostum benim iþim çýkdý ya
0:5:56 | Axefi(21): admin toprak getir
0:5:56 | huso608(19): Ahirda Tadilat var
0:5:59 | Axefi(21): :D
0:6:1 | emre_cool(10): huso buranýn ismi nedir acaba
0:6:3 | emre_cool(10): ?
0:6:4 | [CMD] huso608(19) => /spec 10
0:6:4 | [CMD] swisskobay301(8) => /pm 13 kaçsam ayýp olurmu
0:6:4 | [CMD] DarkFlow(13) => /pm 8 sorun deðil 
0:6:15 | huso608(19): supa save
0:6:17 | [CMD] nik0tin(17) => /d nereye gittin yeri göstercektim 
0:6:21 | emre_cool(10): eyw k.g
0:6:22 | {FFCC00}swisskobay301(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:6:26 | [CMD] emre_cool(10) => /adminol
0:6:28 | [CMD] BeylerBeyi(7) => /d çek
0:6:30 | sezzer(23): neyse axsefi
0:6:31 | [CMD] emre_cool(10) => /hfyerlestir
0:6:34 | [CMD] nik0tin(17) => /get 7 
0:6:34 | sezzer(23): ben kaçýyom
0:6:34 | [CMD] DarkFlow(13) => /pm 8 bak keyfine 
0:6:35 | [CMD] emre_cool(10) => /hfyerlestir
0:6:36 | [CMD] huso608(19) => /a sikecem bunu
0:6:38 | [CMD] BeylerBeyi(7) => /d arkandan geldim bi baktým basmýþsýn .d
0:6:39 | [CMD] huso608(19) => /specoff
0:6:39 | sezzer(23): gece girersen takýlýrýz
0:6:39 | huso608(19) Pizzaci olarak spawn oldu.
0:6:40 | [eN]Overlord(9): huso baþkan
0:6:41 | [CMD] emre_cool(10) => /hfbaslat
0:6:43 | Axefi(21): tamamdýr görüþürüz :)
0:6:46 | huso608(19): buyur
0:6:47 | [eN]Overlord(9): yol yüklenmedi düþtüm bi el atabilirs misin
0:6:49 | [CMD] [eN]Overlord(9) => /cevir
0:6:49 | sezzer(23): gece burdamýsýn
0:6:50 | Axefi(21): gecede burda olurum büyük ihtimal
0:6:51 | [CMD] [eN]Overlord(9) => /tamir
0:6:52 | nik0tin(17): yasak 
0:6:53 | [CMD] huso608(19) => /spec 9
0:6:55 | sezzer(23): tmm 
0:6:56 | [eN]Overlord(9): :/
0:6:58 | sezzer(23): hadi kg 
0:6:59 | huso608(19): suya dusmussun reis 
0:6:59 | emre_cool(10): huso sana gösteri yapýp gitcem
0:7:0 | [CMD] huso608(19) => /asay Artik Suya Düstüðünüzde Cekilmiyecektir Yasaktir...  
0:7:0 | Axefi(21): 200 skor kasýp pilot olucam
0:7:0 | [eN]Overlord(9): 15k yol geldim
0:7:0 | [CMD] swisskobay301(8) => /pm 13 eyw hadi kendine iyi bak sonra yaparýz elbet
0:7:2 | Axefi(21): saol 
0:7:5 | [CMD] huso608(19) => /specoff
0:7:5 | huso608(19) Pizzaci olarak spawn oldu.
0:7:6 | [CMD] sezzer(23) => /dminol
0:7:8 | [CMD] swisskobay301(8) => /basarimlar
0:7:8 | huso608(19):   /rescue
0:7:9 | [CMD] sezzer(23) => /adminol
0:7:10 | [eN]Overlord(9): poliste gelemez
0:7:10 | [CMD] sezzer(23) => /adminol
0:7:11 | sezzer(23) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:7:14 | [CMD] emre_cool(10) => /hfyerlestir
0:7:14 | [CMD] swisskobay301(8) => /stats
0:7:14 | BeylerBeyi(7): ßß
0:7:15 | [eN]Overlord(9): aranmama var
0:7:15 | [LOCAL]nik0tin(17): bu bölge 
0:7:15 | [CMD] nik0tin(17) => /l bu bölge 
0:7:18 | [eN]Overlord(9): aranma*
0:7:19 | [CMD] [eN]Overlord(9) => /balon
0:7:20 | [CMD] emre_cool(10) => /hfyerlestir
0:7:22 | [LOCAL]nik0tin(17): evler aðaçlar gitti 
0:7:22 | [CMD] nik0tin(17) => /l evler aðaçlar gitti 
0:7:22 | [CMD] swisskobay301(8) => /sirket
0:7:27 | [CMD] emre_cool(10) => /vtamir
0:7:32 | [CMD] emre_cool(10) => /hfyerlestir
0:7:35 | [LOCAL]BeylerBeyi(7): büyükmü yaptýn
0:7:35 | [CMD] BeylerBeyi(7) => /l büyükmü yaptýn
0:7:37 | [CMD] [eN]Overlord(9) => /getcar
0:7:37 | emre_cool(10): lan
0:7:39 | [LOCAL]nik0tin(17): kapý buralarda 
0:7:39 | [CMD] nik0tin(17) => /l kapý buralarda 
0:7:39 | [CMD] [eN]Overlord(9) => /gettir
0:7:40 | emre_cool(10): neyse
0:7:43 | emre_cool(10): neyse
0:7:46 | [eN]Overlord(9): týr getirme komutu yok mu ya :D
0:7:48 | [CMD] emre_cool(10) => /hfyerlestir
0:7:51 | [CMD] emre_cool(10) => /hfyerlestir
0:7:53 | [LOCAL]nik0tin(17): burda iþaret levhalar olcak 
0:7:53 | [CMD] nik0tin(17) => /l burda iþaret levhalar olcak 
0:7:54 | [CMD] emre_cool(10) => /hfyerlestir
0:7:54 | [CMD] swisskobay301(8) => /pm 7 Dostum nerdesin
0:7:55 | [LOCAL]nik0tin(17): evet 
0:7:55 | [CMD] nik0tin(17) => /l evet 
0:7:56 | [CMD] [eN]Overlord(9) => /balon
0:7:56 | [CMD] huso608(19) => /dorseget 623
0:7:57 | [CMD] emre_cool(10) => /hfyerlestir
0:8:1 | [CMD] emre_cool(10) => /izle
0:8:1 | [eN]Overlord(9): gitti þirket katkýsýa
0:8:1 | [CMD] Axefi(21) => /rescue yap veya öl overlord
0:8:1 | [LOCAL]nik0tin(17): aþýrý lüks olcak 
0:8:1 | [CMD] nik0tin(17) => /l aþýrý lüks olcak 
0:8:1 | [CMD] BeylerBeyi(7) => /pm 8 sf
0:8:2 | [eN]Overlord(9): püü
0:8:3 | [CMD] swisskobay301(8) => /pm 7 çýkýcam 3 yýldýzým var gel kes istiyosan
0:8:5 | [CMD] emre_cool(10) => /izle huso
0:8:6 | [CMD] swisskobay301(8) => /rescue
0:8:9 | emre_cool(10): izle huso
0:8:10 | [CMD] huso608(19) => /dorseget 623
0:8:10 | [LOCAL]nik0tin(17): direk kaldýrcam ýþýðý 
0:8:10 | [CMD] nik0tin(17) => /l direk kaldýrcam ýþýðý 
0:8:11 | [CMD] swisskobay301(8) => /rescue
0:8:11 | [CMD] emre_cool(10) => /hfbaslat
0:8:12 | [CMD] BeylerBeyi(7) => /pm 8 yok aga çýk sen
0:8:12 | [CMD] Axefi(21) => /sirket
0:8:18 | [CMD] emre_cool(10) => /balon
0:8:20 | [LOCAL]nik0tin(17): burdan iþaretler olcak 
0:8:20 | [CMD] nik0tin(17) => /l burdan iþaretler olcak 
0:8:26 | [CMD] [eN]Overlord(9) => /araba
0:8:34 | [CMD] Axefi(21) => /rescue
0:8:34 | [LOCAL]BeylerBeyi(7): bence fazla büyük olmasý aþýrýya kaçar
0:8:34 | [CMD] BeylerBeyi(7) => /l bence fazla büyük olmasý aþýrýya kaçar
0:8:35 | [CMD] [eN]Overlord(9) => /kemer
0:8:36 | [CMD] swisskobay301(8) => /pm 7 niye /rescue lv çek hemen
0:8:36 | huso608(19): guzel patlýyor
0:8:38 | emre_cool(10): huso için hafai fiþek gösteriri
0:8:40 | [CMD] Axefi(21) => /rescue
0:8:42 | [CMD] [eN]Overlord(9) => /hfyerlestir
0:8:43 | [CMD] [eN]Overlord(9) => /hfyerlestir
0:8:45 | [CMD] BeylerBeyi(7) => /pm 8 tm
0:8:45 | [CMD] [eN]Overlord(9) => /hfyerlestir
0:8:48 | [LOCAL]BeylerBeyi(7): 1 dk geliyorum
0:8:48 | [CMD] BeylerBeyi(7) => /l 1 dk geliyorum
0:8:48 | emre_cool(10): canýn feda olsun huso 608 bey
0:8:48 | [CMD] [eN]Overlord(9) => /hfbaslat
0:8:49 | [CMD] Axefi(21) => /rescue
0:8:50 | [CMD] [eN]Overlord(9) => /hfbaslat
0:8:51 | [CMD] emre_cool(10) => /adminol
0:8:51 | [CMD] BeylerBeyi(7) => /rescue
0:8:52 | huso608(19): :D
0:8:52 | emre_cool(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:8:57 | huso608(19): Tesekkür Ederim
0:8:58 | [CMD] Axefi(21) => /meslek
0:9:3 | [CMD] BeylerBeyi(7) => /pm 8 nerdesin
0:9:4 | {FFCC00}Axefi(21) {FFFFFF}Kamyoncu olarak spawn oldu.
0:9:4 | [eN]Overlord(9): beylerbeyi
0:9:8 | BeylerBeyi(7): efendi
0:9:11 | [eN]Overlord(9): highway
0:9:12 | [CMD] Axefi(21) => /rescue
0:9:13 | [CMD] huso608(19) => /dtemizle
0:9:14 | [KAMYONCU] DarkFlow, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 844056$, 1 Skor ve 5 EXP Sure: 484 Saniye
0:9:15 | [CMD] BeylerBeyi(7) => /rescue
0:9:18 | [CMD] huso608(19) => /a gitti sonunda
0:9:18 | [CMD] nik0tin(17) => /atamir 
0:9:19 | [CMD] DarkFlow(13) => /ogorev 8
0:9:20 | [CMD] BeylerBeyi(7) => /araba
0:9:21 | [CMD] huso608(19) => /work
0:9:23 | [eN]Overlord(9): ceza is waiting yoou
0:9:25 | [CMD] DarkFlow(13) => /work
0:9:27 | [CMD] nik0tin(17) => /a aynen 
0:9:28 | BeylerBeyi(7): tmm
0:9:35 | [CMD] DarkFlow(13) => /asiriyuk
0:9:37 | Axefi(21): sür þofer :D
0:9:37 | [CMD] huso608(19) => /sac
0:9:38 | [CMD] DarkFlow(13) => /asiriyuk
0:9:51 | [eN]Overlord(9): lan
0:9:53 | [eN]Overlord(9): vizör kýrýldý
0:9:54 | [CMD] DarkFlow(13) => /sirket
0:9:58 | [CMD] huso608(19) => /d illa oyun oynamayý býraktýrdýn
0:10:14 | [CMD] huso608(19) => /d dýl dýl dýl
0:10:30 | [CMD] swisskobay301(8) => /buybus
0:10:32 | [CMD] swisskobay301(8) => /buybus
0:10:32 | [CMD] huso608(19) => /djler
0:10:34 | [CMD] swisskobay301(8) => /buybus
0:10:36 | [CMD] nik0tin(17) => /d gel halaya hüso dayý :D 
0:10:36 | Axefi(21): skyjump yapýcam pilot bey yükselin lütfen
0:10:43 | [CMD] swisskobay301(8) => /pm 7 at lv ye tp
0:10:47 | [CMD] swisskobay301(8) => /pm 7 direk ordayým ztn
0:10:56 | [CMD] BeylerBeyi(7) => /pm 8 bekle
0:11:4 | [CMD] BeylerBeyi(7) => /pm 8 ceza kesicem adama
0:11:12 | nik0tin(17): oyunda pilot yokki
0:11:14 | [eN]Overlord(9) oyundan cIktI (Hata/Crash) (IP: 78.191.244.194)
0:11:16 | [CMD] huso608(19) => /odul 7
0:11:19 | [CMD] huso608(19) => /odul 8
0:11:23 | [CMD] huso608(19) => /odul 9
0:11:25 | Axefi(21): beylerbeyinin helikopterindeyim :D
0:11:27 | [CMD] huso608(19) => /odul 13
0:11:30 | BeylerBeyi(7): adamsýn
0:11:32 | [CMD] huso608(19) => /odul 17
0:11:36 | [CMD] huso608(19) => /odul 21
0:11:39 | [CMD] huso608(19) => /odul 26
0:11:40 | [CMD] nik0tin(17) => /odul lssf 
0:11:43 | [CMD] nik0tin(17) => /odul lssf
0:11:44 | [CMD] BeylerBeyi(7) => /rescue
0:11:45 | Axefi(21): f
0:11:50 | [CMD] nik0tin(17) => /getid lssf
0:11:54 | [CMD] nik0tin(17) => /getid LSSF
0:11:56 | swisskobay301(8): eyw
0:11:56 | Axefi(21): sen atlamasan ben atlýcaktým :D
0:11:58 | [CMD] swisskobay301(8) => /adminol
0:11:58 | [CMD] nik0tin(17) => /getid LSLV
0:11:58 | [CMD] swisskobay301(8) => /adminol
0:11:59 | swisskobay301(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:12:1 | huso608(19): ßß
0:12:6 | [CMD] Axefi(21) => /rescue :D
0:12:6 | DarkFlow(13): ßß
0:12:7 | [CMD] nik0tin(17) => /odul 1 
0:12:9 | [eN]Overlord(0) oyuna girdi [IP: 78.191.244.194]
0:12:10 | BeylerBeyi(7): ßß
0:12:25 | [CMD] BeylerBeyi(7) => /araba
0:12:33 | 
0:12:36 | [CMD] nik0tin(17) => /d kestin mi 
0:12:36 | [CMD] BeylerBeyi(7) => /kemer
0:12:37 | [CMD] Axefi(21) => /work
0:12:39 | [CMD] nik0tin(17) => /d cezayý 
0:12:40 | [eN]Overlord(0) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:12:48 | [CMD] BeylerBeyi(7) => /d kestim
0:12:53 | [CMD] nik0tin(17) => /d çekiyom 
0:12:58 | [CMD] BeylerBeyi(7) => /d 1 dk
0:13:5 | [CMD] BeylerBeyi(7) => /d çek
0:13:11 | [CMD] huso608(19) => /work
0:13:20 | [CMD] nik0tin(17) => /get 7 
0:13:23 | [CMD] nik0tin(17) => /cantazele 
0:13:29 | [LOCAL]nik0tin(17): bura otopark 
0:13:29 | [CMD] nik0tin(17) => /l bura otopark 
0:13:41 | [LOCAL]BeylerBeyi(7): aga aþýrý büyük yapýyorsun o zaman 
0:13:41 | [CMD] BeylerBeyi(7) => /l aga aþýrý büyük yapýyorsun o zaman 
0:13:47 | [LOCAL]BeylerBeyi(7): abartýya kaçar
0:13:47 | [CMD] BeylerBeyi(7) => /l abartýya kaçar
0:13:49 | [LOCAL]nik0tin(17): isteðe baðlý olursa 
0:13:49 | [CMD] nik0tin(17) => /l isteðe baðlý olursa 
0:14:0 | [LOCAL]nik0tin(17): buralar düz arazi olup ev gelcek 
0:14:0 | [CMD] nik0tin(17) => /l buralar düz arazi olup ev gelcek 
0:14:10 | [LOCAL]nik0tin(17): enine dar 
0:14:10 | [CMD] nik0tin(17) => /l enine dar 
0:14:12 | [LOCAL]nik0tin(17): boyuna 
0:14:12 | [CMD] nik0tin(17) => /l boyuna 
0:14:17 | [LOCAL]nik0tin(17): geniþ 
0:14:17 | [CMD] nik0tin(17) => /l geniþ 
0:14:18 | [CMD] huso608(19) => /a yasin ahir tv mi actý amk gavatý
0:14:24 | [CMD] nik0tin(17) => /a hee 
0:14:32 | [CMD] huso608(19) => /a baska ise yaramaz zaten
0:14:33 | [CMD] nik0tin(17) => /a çýktým ben 
0:14:41 | [LOCAL]BeylerBeyi(7): aga sen çok abartmýþsýn bana göre
0:14:41 | [CMD] BeylerBeyi(7) => /l aga sen çok abartmýþsýn bana göre
0:14:54 | [LOCAL]nik0tin(17): tam bu hizadan 
0:14:54 | [CMD] nik0tin(17) => /l tam bu hizadan 
0:15:13 | [CMD] Axefi(21) => /vtamir
0:15:22 | [LOCAL]nik0tin(17): ordan bu hizada 
0:15:22 | [CMD] nik0tin(17) => /l ordan bu hizada 
0:15:46 | [LOCAL]nik0tin(17): elit olsun diye 
0:15:46 | [CMD] nik0tin(17) => /l elit olsun diye 
0:15:52 | [CMD] huso608(19) => /modifiye
0:15:57 | [LOCAL]nik0tin(17): lüks oldu 
0:15:57 | [CMD] nik0tin(17) => /l lüks oldu 
0:16:0 | [CMD] huso608(19) => /atamir
0:16:5 | [CMD] huso608(19) => /vbenzin
0:16:8 | [CMD] BeylerBeyi(7) => /admins
0:16:18 | [LOCAL]BeylerBeyi(7): bakalým görcez 
0:16:18 | [CMD] BeylerBeyi(7) => /l bakalým görcez 
0:16:21 | [LOCAL]BeylerBeyi(7): gelsinde
0:16:21 | [CMD] BeylerBeyi(7) => /l gelsinde
0:16:29 | [LOCAL]nik0tin(17): burdan çýkýp gitcekler 
0:16:29 | [CMD] nik0tin(17) => /l burdan çýkýp gitcekler 
0:16:35 | [CMD] huso608(19) => /work
0:16:46 | DarkFlow(13): pizzacý huso :D
0:17:0 | [CMD] huso608(19) => /duyuru adres teslim murat baba
0:17:10 | [CMD] nik0tin(17) => /fuel 
0:17:13 | DarkFlow(13): beným evede bi ugrarsan
0:17:19 | [CMD] huso608(19) => /duyuru kaymak lazim diyor ankaralilar
0:17:27 | DarkFlow(13): :D
0:17:32 | Axefi(21): hüso bana pizza getirirmisin acil bulunduðum yere
0:17:33 | nik0tin(17): bol malzemos 
0:17:40 | [CMD] huso608(19) => /duyuru kaymakci gitmis 
0:17:45 | [CMD] huso608(19) => /duyuru kaymak ci gitmis 
0:17:55 | Axefi(21): büyük boy paketos olsun
0:18:7 | [CMD] BeylerBeyi(7) => /vtamir
0:18:9 | [LOCAL]nik0tin(17): ben çýkam kafam aðrýyor 2 gecedir 
0:18:9 | [CMD] nik0tin(17) => /l ben çýkam kafam aðrýyor 2 gecedir 
0:18:11 | [CMD] huso608(19) => /duyuru yaparsa guzel anam yapar
0:18:19 | DarkFlow(13): big boy karýsýtos olsun
0:18:22 | [LOCAL]BeylerBeyi(7): bende çýkýcam yarýn sabahçýyým
0:18:22 | [CMD] BeylerBeyi(7) => /l bende çýkýcam yarýn sabahçýyým
0:18:29 | Younapo.(26) oyundan cIktI (Hata/Crash) (IP: 78.172.141.154)
0:18:33 | [LOCAL]BeylerBeyi(7): son kez sorayým
0:18:33 | [CMD] BeylerBeyi(7) => /l son kez sorayým
0:18:34 | [LOCAL]BeylerBeyi(7): bi
0:18:34 | [CMD] BeylerBeyi(7) => /l bi
0:18:38 | [CMD] nik0tin(17) => /a hüso dayý ben kaçar sana iyigeceler 
0:18:39 | BeylerBeyi(7): tekno veya rezidans satan varmý
0:18:42 | [CMD] huso608(19) => /duyuru asiri hiz arabayi kaybettik
0:18:44 | [CMD] huso608(19) => /a tmm
0:19:0 | DarkFlow(13): beyler
0:19:3 | BeylerBeyi(7): efendim
0:19:5 | DarkFlow(13): tekno bende arýyom
0:19:9 | [LOCAL]nik0tin(17): indirim var 5 tl hep :D 
0:19:9 | [CMD] nik0tin(17) => /l indirim var 5 tl hep :D 
0:19:14 | DarkFlow(13): yok glaiba
0:19:16 | Axefi(21): beylerbeyi þirketin bi arabasý suyu boyladý haberin olsun :D
0:19:18 | [KAMYONCU] DarkFlow, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 539817$, 1 Skor ve 5 EXP Sure: 447 Saniye
0:19:19 | Axefi(21): bullet
0:19:22 | [CMD] BeylerBeyi(7) => /srespawncars
0:19:27 | [CMD] huso608(19) => /duyuru murat baba evim var lazimsa koy oraya
0:19:36 | nik0tin(17): patron zengin 
0:19:38 | BeylerBeyi(7): satýlýk yok satýcý bulacaz
0:19:40 | DarkFlow(13): rezidans var tekno yok
