0:0:1 | [CMD] Madness(31) => /tamir
0:5:21 | _Onur.King_(10): eve ýstedýgýmýz aracý alabýlýyormuyuz ?
0:5:29 | sezzer(26): araç için ev þart deðil
0:5:29 | HeRquL(8): araba için eve gerek yok
0:5:30 | huso608(14): ev almadan da arac alabilirsini<
0:5:38 | _Onur.King_(10): nasýl alýcam
0:5:40 | [CMD] _Onur.King_(10) => /aracgetir
0:5:42 | Moskova_Kurdu(30): Galerilerden
0:5:42 | HeRquL(8): galeriden
0:5:42 | Asi_Kaptan(7): galeri
0:5:43 | sezzer(26): galeriden
0:5:46 | [CMD] _Onur.King_(10) => /gps
0:5:48 | [CMD] Jodor(6) => /sirket
0:5:54 | huso608(14): galerilerimiz mevcuttur haritadan beyaz ucak ýconlarý bulunmaktadýr
0:6:10 | [CMD] huso608(14) => /specoff
0:6:10 | {FFCC00}huso608(14) {FFFFFF}Kamyoncu olarak spawn oldu.
0:6:18 | _Onur.King_(10): harýtadan hangýlerý =
0:6:20 | _Onur.King_(10): harýtadan hangýlerý ?
0:6:22 | huso608(14): galerilerimiz mevcuttur haritadan beyaz ucak ýconlarý bulunmaktadýr
0:6:25 | [CMD] Jodor(6) => /sirket
0:6:26 | _Onur.King_(10): tmm
0:6:29 | [CMD] Moskova_Kurdu(30) => /Convoyuye
0:6:32 | Madness(31) oyundan cIktI (Hata/Crash) (IP: 95.10.178.91)
0:6:37 | Madness(12) oyuna girdi [IP: 95.10.178.91]
0:6:38 | _Onur.King_(10): aracýmý yanýma ýsýnllýyabýlýyormuyum ?
0:6:42 | Moskova_Kurdu(30):  /Araba
0:6:42 | HeRquL(8): tabii ki
0:6:43 | huso608(14): evet
0:6:43 | sezzer(26): evet
0:6:45 | [CMD] _Onur.King_(10) => /araba
0:6:46 | huso608(14):   /araba
0:6:47 | 
0:6:49 | {FFCC00}Madness(12) {FFFFFF}Kamyoncu olarak spawn oldu.
0:6:56 | Madness(12): crash verdi sakamý bu ya
0:6:59 | [CMD] huso608(14) => /goto 11
0:7:0 | _Onur.King_(10): tamama teþekkur hepýnýze
0:7:1 | [CMD] Madness(12) => /rescue
0:7:2 | [CMD] huso608(14) => /goto 11
0:7:17 | Madness(12): hey allam of
0:7:20 | [SirketCHT] Jodor(6): ! bak bak
0:7:22 | [CMD] Madness(12) => /kemer
0:7:22 | [CMD] huso608(14) => /asay Arac Res Geliyor!!!
0:7:22 | Jodor(6): madnes
0:7:23 | [CMD] sezzer(26) => /c bitirdim
0:7:24 | [CMD] Madness(12) => /modifiye
0:7:24 | [CMD] huso608(14) => /asay Arac Res Geliyor!!!
0:7:26 | [CMD] huso608(14) => /asay Arac Res Geliyor!!!
0:7:28 | [CMD] huso608(14) => /respawncars
0:7:29 | Jodor(6): crash vermeden süreceksin :D
0:7:31 | [CMD] huso608(14) => /cantazele
0:7:37 | [CMD] huso608(14) => /rescue
0:7:38 | DarkFlow(25): :D
0:7:38 | Madness(12): kahkaha tufaný
0:7:41 | [CMD] huso608(14) => /meslek
0:7:43 | [CMD] Moskova_Kurdu(30) => /c Hýzlý ve Bitirdi
0:7:45 | huso608(14) Oduncu olarak spawn oldu.
0:7:58 | HeRquL(8): madness
0:7:59 | [CMD] Asi_Kaptan(7) => /c bitti
0:8:0 | sezzer(26): ben ve kendim bitirdik biz
0:8:2 | HeRquL(8): ss olsa yanmýþtýn
0:8:4 | [CMD] huso608(14) => /work
0:8:11 | Madness(12): neyin ssi
0:8:16 | HeRquL(8): ters yön ss i
0:8:16 | [CMD] buyukustadbitti(11) => /tamir
0:8:20 | [CMD] huso608(14) => /a ben bu userlerin sýkýntýlarýný cozdum 
0:8:21 | _Onur.King_(10): býrýne sýkmak yasakmý *
0:8:25 | [CMD] huso608(14) => /a ss deyip durma
0:8:25 | HeRquL(8): ysak
0:8:26 | Moskova_Kurdu(30): Nasýl yani
0:8:27 | huso608(14): aynen
0:8:30 | Moskova_Kurdu(30): Silah yok ki zaten
0:8:31 | _Onur.King_(10): kac gun ban ?
0:8:35 | Jodor(6): elinde silah mý var
0:8:42 | [CMD] huso608(14) => /a hile acarsa
0:8:47 | [CMD] Moskova_Kurdu(30) => /a baþgan @10 u kontrol etsene bi
0:8:50 | Jodor(6): hangi silah
0:8:53 | [CMD] huso608(14) => /a baktým
0:8:56 | [CMD] HeRquL(8) => /atamir
0:8:58 | [CMD] huso608(14) => /a simdilik sýkýntý yok
0:8:59 | _Onur.King_(10): býlmem olesýne sordum :D
0:9:3 | [CMD] huso608(14) => /spec 10
0:9:6 | [CMD] DarkFlow(25) => /c cabuk jodor :D
0:9:7 | HeRquL(8): çevik kuvvet de silah var
0:9:8 | [CMD] huso608(14) => /specoff
0:9:8 | huso608(14) Oduncu olarak spawn oldu.
0:9:13 | [CMD] Jodor(6) => /pm 30 anlaþýldý huseyin bunu banlamýþ :) 
0:9:17 | [CMD] Moskova_Kurdu(30) => /aka 10 
0:9:18 | [CMD] huso608(14) => /a selcuk
0:9:23 | [CMD] HeRquL(8) => /a efgendim
0:9:26 | [CMD] Moskova_Kurdu(30) => /bangor _Onu.Cyln_
0:9:28 | [CMD] huso608(14) => /a bu ss olayýný yaygara yapma
0:9:35 | _Onur.King_(10): huseyýn bana para atmýstý
0:9:37 | _Onur.King_(10): cok ýyý bý admýn
0:9:44 | [CMD] HeRquL(8) => /a iyide sistemi bilmiyolarmý zaten
0:9:45 | Madness(12) oyundan cIktI (Hata/Crash) (IP: 95.10.178.91)
0:9:45 | Madness(13) oyuna girdi [IP: 95.10.178.91]
0:9:47 | [CMD] huso608(14) => /a bak bu yuzden sikayet bile ederler
0:9:47 | [CMD] sezzer(26) => /tamir
0:9:49 | Moskova_Kurdu(30): Banlamýþtý dimi seni :)
0:9:54 | Jodor(6): banlamýþ
0:9:54 | _Onur.King_(10): hayýr
0:9:56 | ClipCamper20(12) oyuna girdi [IP: 88.230.100.106]
0:9:56 | 
0:9:59 | {FFCC00}Madness(13) {FFFFFF}Kamyoncu olarak spawn oldu.
0:10:0 | Madness(13): havle vela
0:10:2 | [CMD] Madness(13) => /rescue
0:10:2 | Jodor(6): silah hilesinden dolayý
0:10:4 | _Onur.King_(10): hýc banlanmadým
0:10:5 | [CMD] huso608(14) => /a tehdit kýsmýna giriyor
0:10:5 | [CMD] HeRquL(8) => /a ss aldý diye þikayet mi eeder
0:10:7 | [CMD] DarkFlow(25) => /convoykontrol
0:10:10 | Moskova_Kurdu(30): hüseyin öyle rastgele birine para vermez
0:10:10 | 
0:10:12 | [CMD] HeRquL(8) => /a ss=kanýt
0:10:14 | [CMD] huso608(14) => /work
0:10:15 | {FFCC00}ClipCamper20(12) {FFFFFF}Polis olarak spawn oldu.
0:10:18 | _Onur.King_(10): hayýr
0:10:23 | [CMD] Madness(13) => /kemer
0:10:24 | Jodor(6): ne yaptýn ya
0:10:24 | _Onur.King_(10): sw yý begendýnýzmý fln dedý
0:10:29 | _Onur.King_(10): cok guzel tsk dedým
0:10:32 | Jodor(6): ayýptýr yaptýðýn
0:10:32 | [CMD] sezzer(26) => /sirket
0:10:33 | [CMD] HeRquL(8) => /aka 10
0:10:36 | _Onur.King_(10): bu benden sýze hedýye dedý verdý
0:10:38 | Jodor(6): moskova görevi ver
0:10:39 | [CMD] HeRquL(8) => /a @10 aka
0:10:44 | [CMD] Moskova_Kurdu(30) => /a gördüm
0:10:46 | [CMD] HeRquL(8) => /a cyln diye de gelmiiþþ
0:10:46 | [CMD] Moskova_Kurdu(30) => /a banlý deðil
0:10:48 | [CMD] sezzer(26) => /c oha 7 m kasmýþým la
0:10:52 | [CMD] huso608(14) => /a baktým yok bisey
0:10:58 | [CMD] huso608(14) => /a hepsi takibimde
0:10:59 | _Onur.King_(10): beným adýmda býrý dahamý vardý eskýden ?
0:11:0 | [CMD] Konyali42(9) => /tamir
0:11:3 | [CMD] DarkFlow(25) => /convoykontrol
0:11:4 | [CMD] huso608(14) => /a bu userler bunu istiyor
0:11:6 | [CMD] Jodor(6) => /c sezzer 7m+3.5 kazanýrdýn bizim þirkette olsaydýn :)
0:11:9 | [CMD] Moskova_Kurdu(30) => /convoykontrol
0:11:10 | [CMD] huso608(14) => /aka 10
0:11:15 | [CMD] Konyali42(9) => /sirket
0:11:18 | [CMD] Moskova_Kurdu(30) => /c Hoþt len 
0:11:20 | [CMD] Moskova_Kurdu(30) => /c :D 
0:11:21 | [CMD] Jodor(6) => /c hahaha
0:11:22 | huso608(14): @10 amac nedir 
0:11:23 | [CMD] Konyali42(9) => /c :D 
0:11:24 | [CMD] sezzer(26) => /c geçicem dedim hüseyin kýzdý knk napýyým
0:11:30 | [CMD] Moskova_Kurdu(30) => /c Ben sezzer e biþeyler kazandýrcam :D 
0:11:35 | [CMD] Konyali42(9) => /c üye calma cabalari :D
0:11:42 | huso608(14): su an anlatmak istedigin olay nedir
0:11:54 | [CMD] Jodor(6) => /c hüseyin kýzmýþsa kal :)
0:11:54 | _Onur.King_(10): anlatmak ýstedýgým bý olay yok
0:11:56 | Madness(13): moskova sifreyi at özelden
0:11:58 | [CMD] _Onur.King_(10) => /kurallar
0:12:0 | [CMD] Konyali42(9) => /report 11 convoy bekleme ss var
0:12:0 | huso608(14): iyi oyunlar 
0:12:1 | sezzer(26): polis konvoy bekliyo
0:12:2 | [CMD] Moskova_Kurdu(30) => /c Þuanki üyelerin þirketi ayakta tutar zaten :D 
0:12:4 | [CMD] huso608(14) => /spec 11
0:12:5 | ClipCamper20(12) oyundan cIktI (Hata/Crash) (IP: 88.230.100.106)
0:12:7 | sezzer(26): polis konvoy bekliyo
0:12:8 | [CMD] Moskova_Kurdu(30) => /convoykontrol
0:12:13 | Moskova_Kurdu(30): .
0:12:15 | [CMD] Moskova_Kurdu(30) => /convoykontrol
0:12:15 | [CMD] DarkFlow(25) => /sirket
0:12:17 | [CMD] Moskova_Kurdu(30) => /convoybilgi
0:12:17 | [CMD] Jodor(6) => /c yok yok ben ondan demiyorum
0:12:20 | buyukustadbitti(11): neden bekleyemezmi :D
0:12:23 | sezzer(26): yasak
0:12:23 | [CMD] Jodor(6) => /c konyalý ile kankalar ya ondan :D
0:12:23 | [CMD] Asi_Kaptan(7) => /c admin bu polis bizi takip etcek mi hep ?
0:12:24 | _Onur.King_(10): nasýl serý skor kasabýlýrým ?
0:12:27 | sezzer(26): bekleyemez
0:12:28 | [CMD] Moskova_Kurdu(30) => /c La kim yük vermedi
0:12:33 | Konyali42(9): kendisi itiraf etti ve hala warn yok
0:12:36 | Konyali42(9): nerde adalet
0:12:37 | [CMD] huso608(14) => /jail 11 500  Polis Convoy Takip Yasak + Gorev Bekleme 
0:12:38 | buyukustadbitti(11): o
0:12:39 | [CMD] DarkFlow(25) => /convoyayril
0:12:40 | [CMD] Jodor(6) => /convoyuye
0:12:45 | Kids(12) oyuna girdi [IP: 110.137.64.170]
0:12:46 | [CMD] HeRquL(8) => /convoyayril
0:12:47 | Madness(13): moskova sifre at
0:12:48 | [CMD] Madness(13) => /convoy
0:12:48 | Jodor(6): oh
0:12:50 | [CMD] HeRquL(8) => /sitket
0:12:52 | [CMD] HeRquL(8) => /sirket
0:12:52 | buyukustadbitti(11): sen nie girdin la :Dsfd
0:12:53 | [CMD] Moskova_Kurdu(30) => /pm 13 adminol
0:12:54 | huso608(14): @9 adalet gelir biraz sabir
0:12:57 | _Onur.King_(10): konvoy a alacak varmý ?
0:12:58 | [CMD] Madness(13) => /convoy
0:12:59 | buyukustadbitti(11): öyle KAÇARSAN
0:13:0 | [CMD] _Onur.King_(10) => /cler
0:13:2 | {FFCC00}DarkFlow(25) {FFFFFF}Kamyoncu olarak spawn oldu.
0:13:2 | [CMD] HeRquL(8) => /goto 14
0:13:4 | [CMD] Madness(13) => /c bu nasýl sifre
0:13:4 | [CMD] Moskova_Kurdu(30) => /c Tamam beyler benden bu kadar. Kime vereyim liderlik
0:13:4 | [CMD] _Onur.King_(10) => /convoylar
0:13:6 | [CMD] _Onur.King_(10) => /convoy
0:13:7 | [CMD] Moskova_Kurdu(30) => /c :D 
0:13:10 | [CMD] Asi_Kaptan(7) => /c sal gelsin
0:13:10 | [CMD] HeRquL(8) => /adminol
0:13:14 | [CMD] Moskova_Kurdu(30) => /c Sana yok
0:13:14 | [CMD] Jodor(6) => /c bana ver
0:13:15 | DarkFlow(25): bilerek durdum 
0:13:18 | [CMD] huso608(14) => /mute 11 500 Biraz Sus Baskan
0:13:18 | [CMD] Moskova_Kurdu(30) => /c Jodor a verücüm
0:13:18 | nik0tin(15) oyuna girdi [IP: 78.181.141.101]
0:13:18 | 
0:13:20 | [CMD] _Onur.King_(10) => /ckur
0:13:21 | [CMD] Moskova_Kurdu(30) => /c JodorAlýr
0:13:23 | [CMD] _Onur.King_(10) => /yardim
0:13:25 | [CMD] Moskova_Kurdu(30) => /c :P
0:13:26 | [CMD] Asi_Kaptan(7) => /c oda bizden zaten :D
0:13:26 | [CMD] Jodor(6) => /c alýrým
0:13:29 | [CMD] DarkFlow(25) => /convoy
0:13:29 | [CMD] Konyali42(9) => /c ve liderlik bzk dan art a gecer :D
0:13:30 | [CMD] HeRquL(8) => /duyuru ts3 konvoy odasi  accam girin bence
0:13:30 | [CMD] huso608(14) => /specoff
0:13:30 | huso608(14) Oduncu olarak spawn oldu.
0:13:37 | [CMD] huso608(14) => /work
0:13:37 | Madness(13): bekle geliyos
0:13:39 | [CMD] Moskova_Kurdu(30) => /c sezzer e mi versem hmm 
0:13:40 | 
0:13:41 | [CMD] Konyali42(9) => /c ART artik bir lider :D
0:13:41 | [CMD] Moskova_Kurdu(30) => /c :D 
0:13:41 | Kids(12) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:13:42 | [SirketCHT] DarkFlow(25): ! þire ne jodor
0:13:44 | [CMD] HeRquL(8) => /duyuru ts3 konvoy odasi  accam girin bence
0:13:44 | [CMD] huso608(14) => /aka 12
0:13:44 | [CMD] Moskova_Kurdu(30) => /c sezzer e mi versem hmm 
0:13:45 | [CMD] Konyali42(9) => /c :DD
0:13:46 | {FFCC00}nik0tin(15) {FFFFFF}Pilot olarak spawn oldu.
0:13:46 | [CMD] sezzer(26) => /c ver banaaað
0:13:48 | _Onur.King_(10): en dusuk fýyatlý arac kac m ?
0:13:49 | [SirketCHT] Jodor(6): ! adminol
0:13:52 | [CMD] Moskova_Kurdu(30) => /c hadi len ordan .d 
0:13:53 | [CMD] DarkFlow(25) => /convoy
0:13:55 | [CMD] Moskova_Kurdu(30) => /c jodor adamdýr
0:13:56 | [CMD] HeRquL(8) => /duyuru ip = ts3.trucksamp.com
0:13:57 | [CMD] nik0tin(15) => /admgiris 
0:13:58 | [CMD] Moskova_Kurdu(30) => /convoylider Jodor
0:13:59 | [CMD] sezzer(26) => /c pü sana
0:13:59 | huso608(14):   10m 
0:14:0 | [CMD] DarkFlow(25) => /rescue
0:14:1 | [CMD] Konyali42(9) => /c ve ART lider oldu :D
0:14:3 | _Onur.King_(10): oha
0:14:4 | Moskova_Kurdu(30): niko
0:14:5 | [CMD] nik0tin(15) => /sa 
0:14:6 | Konyali42(9): ART lide :D
0:14:7 | [CMD] sezzer(26) => /as
0:14:8 | [CMD] Jodor(6) => /as
0:14:8 | Konyali42(9): ART lider :D
0:14:9 | Moskova_Kurdu(30): niko
0:14:11 | [CMD] DarkFlow(25) => /asw
0:14:12 | nik0tin(15): evet 
0:14:13 | [CMD] DarkFlow(25) => /as
0:14:14 | (12) 60 saniye içinde giriþ yapmadýðý için tekmelendi
0:14:15 | [CMD] HeRquL(8) => /adminol
0:14:16 | Moskova_Kurdu(30): Konvoya geç saðlam konvoy yapýyolar
0:14:17 | HeRquL(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:14:19 | Moskova_Kurdu(30): Ben gidiom þimdi
0:14:20 | [CMD] Asi_Kaptan(7) => /as
0:14:22 | [CMD] nik0tin(15) => /convoy 
0:14:23 | (12) 60 saniye içinde giriþ yapmadýðý için tekmelendi
0:14:23 | [CMD] DarkFlow(25) => /kemer
0:14:27 | Jodor(6): longway docksda convoy vardýr
0:14:28 | [CMD] nik0tin(15) => /meslek 
0:14:31 | Kids(8) oyuna girdi [IP: 110.137.64.170]
0:14:32 | [CMD] Moskova_Kurdu(30) => /convoy
0:14:33 | [CMD] Jodor(6) => /convoysifre art
0:14:37 | {FFCC00}nik0tin(15) {FFFFFF}Kamyoncu olarak spawn oldu.
0:14:38 | [CMD] Moskova_Kurdu(30) => /convoy
0:14:38 | Jodor(6): þifre için pm
0:14:40 | [CMD] huso608(14) => /aka 8
0:14:42 | [CMD] _Onur.King_(10) => /pm 7 asi kaptan
0:14:43 | [CMD] Jodor(6) => /pm 15 art
0:14:45 | 
0:14:47 | [CMD] Moskova_Kurdu(30) => /convoy
0:14:47 | [CMD] Asi_Kaptan(7) => /pm 10 buyur haci ?
0:14:49 | nik0tin(15): harbourda elirim map dýþýnda crash veriyor 
0:14:49 | {FFCC00}Kids(8) {FFFFFF}Kamyoncu olarak spawn oldu.
0:14:49 | [CMD] _Onur.King_(10) => /pm 7 yn cnr de de oynuyosun :D
0:14:52 | [CMD] Moskova_Kurdu(30) => /convoyayril
0:14:54 | Kids(8) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:14:54 | [CMD] Moskova_Kurdu(30) => /convoyayril
0:14:55 | [CMD] _Onur.King_(10) => /pm 7 yenýnesýl cnr
0:14:56 | [CMD] Moskova_Kurdu(30) => /convoy
0:14:59 | Jodor(6): tamam
0:15:0 | Madness(13): hani konvoy odasý
0:15:3 | [CMD] Moskova_Kurdu(30) => /c selamýn aleyküm adým azrail 
0:15:3 | [CMD] Asi_Kaptan(7) => /pm 10 evet ban :D
0:15:6 | [CMD] Konyali42(9) => /cevir
0:15:7 | [CMD] Madness(13) => /c docks ta dorse var mý
0:15:7 | [CMD] _Onur.King_(10) => /pm 7 kac gun
0:15:8 | [CMD] nik0tin(15) => /pm 6 art ý :D 
0:15:11 | [CMD] sezzer(26) => /c asdhhagsd
0:15:13 | [CMD] DarkFlow(25) => /c :D
0:15:15 | [CMD] sezzer(26) => /c apo A:SD
0:15:16 | [CMD] Asi_Kaptan(7) => /pm 10 Seriel Ban
0:15:20 | [CMD] Madness(13) => /c docksta dorse var mý dorsem yok
0:15:21 | [CMD] Moskova_Kurdu(30) => /goto sezzer
0:15:22 | [CMD] Konyali42(9) => /c ts ye baktiydim :D
0:15:23 | [CMD] _Onur.King_(10) => /pm 7 kac gun ?
0:15:25 | [CMD] Konyali42(9) => /c var
0:15:27 | [CMD] huso608(14) => /work
0:15:31 | Jodor(6): bak orada var 
0:15:32 | [CMD] Asi_Kaptan(7) => /pm 10 seriel diyorum sence kac gun ?
0:15:33 | Jodor(6): ileride
0:15:43 | [CMD] _Onur.King_(10) => /pm 7 seriel nedýr onu býlmýyorum
0:15:43 | [CMD] Moskova_Kurdu(30) => /c Þu konvoya bak hep Art a kazandýrdýk :D 
0:15:48 | [CMD] Moskova_Kurdu(30) => /c Bizden nie kimse yok :D 
0:15:50 | [CMD] Konyali42(9) => /c :DD
0:15:52 | [CMD] _Onur.King_(10) => /pm 7 baska sw de oynadýgýn ýcýnmý ?
0:15:54 | [CMD] Asi_Kaptan(7) => /pm 10 /sban yani D
0:15:55 | [CMD] Jodor(6) => /c sezzer var ya madness
0:15:56 | [CMD] sezzer(26) => /c ben varým
0:15:56 | [CMD] Konyali42(9) => /c ART lider marka :D
0:16:3 | [CMD] _Onur.King_(10) => /pm 7 baska sw de oynadýgýn ýcýnmý ?
0:16:6 | [CMD] Asi_Kaptan(7) => /pm 10 hile dedi kahbe 
0:16:13 | [CMD] Moskova_Kurdu(30) => /c Art þuan deðil ama zamanla olucak 
0:16:13 | [CMD] _Onur.King_(10) => /pm 7 deýlmýsýn :D
0:16:15 | [CMD] Madness(13) => /c aloo
0:16:22 | [CMD] Konyali42(9) => /c report mosko art uyesi dorse cikarma :D
0:16:24 | [CMD] Jodor(6) => /c þu ana yeniyiz :)
0:16:30 | [CMD] Asi_Kaptan(7) => /pm 10 hile acmayý bilsem acarým ama gerek duymuyorum kendime sakýstýrmýyorum
0:16:30 | [CMD] Madness(13) => /sirket
0:16:33 | [CMD] Moskova_Kurdu(30) => /c zamanla olucaksýnýz iþte :D
0:16:33 | [CMD] _Onur.King_(10) => /pm 7 Ben _Onur.Cyln_ Baska sw de oynamak yasak deýl :d
0:16:35 | [CMD] Jodor(6) => /c hüseyini de alacam bozoktan :D
0:16:37 | Madness(13): yaþasýn bozok
0:16:39 | [CMD] Moskova_Kurdu(30) => /c :D 
0:16:42 | [CMD] Moskova_Kurdu(30) => /c Ýnanmýþ:D
0:16:44 | [CMD] Konyali42(9) => /c yuh :d abartma :d
0:16:50 | [CMD] DarkFlow(25) => /c :D
0:16:51 | [CMD] Asi_Kaptan(7) => /pm 10 dogrudur haci
0:17:0 | [CMD] Konyali42(9) => /c ondan sonra vuvucan kirbaci vuvucan kirbaci demi jodor :DD
0:17:0 | [CMD] _Onur.King_(10) => /pm 7 baska hesap kur zor degýl
0:17:5 | [CMD] _Onur.King_(10) => /pm 7 sen ýp ban mý yedýn ?
0:17:7 | [CMD] Jodor(6) => /c herkes tamam mý
0:17:9 | [CMD] Jodor(6) => /work
0:17:12 | [CMD] sezzer(26) => /c tmm
0:17:15 | [CMD] Asi_Kaptan(7) => /pm 10 gerek var mý emege sagýsýzlýk oldukdan sonra ?
0:17:16 | [CMD] Moskova_Kurdu(30) => /goto sezzer
0:17:17 | [CMD] huso608(14) => /work
0:17:17 | [CMD] DarkFlow(25) => /c baþalt
0:17:19 | [CMD] Moskova_Kurdu(30) => /c ben çýkam dur
0:17:21 | [CMD] huso608(14) => /aka 10
0:17:21 | [CMD] Moskova_Kurdu(30) => /convoyayril
0:17:25 | [CMD] Moskova_Kurdu(30) => /adminol
